customer_id,ltv,churn_probability,customer_segment,retention_priority_score,retention_priority,recommended_action
4587-VVTOX,631.8,0.805,Churn Risk,51.26,High,Offer discount / loyalty benefit
2034-GDRCN,180.8,0.84,Churn Risk,51.25,High,Offer discount / loyalty benefit
1240-KNSEZ,20.1,0.8525,Churn Risk,51.24,High,Offer discount / loyalty benefit
6821-BUXUX,1256.45,0.755,Churn Risk,51.18,High,Offer discount / loyalty benefit
7180-PISOG,74.5,0.845,Churn Risk,51.05,High,Offer discount / loyalty benefit
2865-TCHJW,356.8,0.82,Churn Risk,50.87,High,Offer discount / loyalty benefit
5380-WJKOV,3615.9,0.565,High Value Customer,50.82,High,Offer discount / loyalty benefit
8397-MVTAZ,3401.7,0.58,High Value Customer,50.71,High,Offer discount / loyalty benefit
2959-MJHIC,321.4,0.82,Churn Risk,50.7,High,Offer discount / loyalty benefit
8752-STIVR,316.0,0.82,Churn Risk,50.68,High,Offer discount / loyalty benefit
3672-YITQD,3027.6,0.605,High Value Customer,50.46,High,Offer discount / loyalty benefit
1768-ZAIFU,25.2,0.835,Churn Risk,50.22,High,Offer discount / loyalty benefit
2254-DLXRI,79.15,0.825,Churn Risk,49.87,Medium,Monitor and engage
1853-UDXBW,70.0,0.825,Churn Risk,49.83,Medium,Monitor and engage
2985-FMWYF,2150.5,0.66,Monitor,49.66,Medium,Monitor and engage
6856-RAURS,149.8,0.8142,Churn Risk,49.55,Medium,Monitor and engage
6857-VWJDT,95.65,0.8170999999999999,Churn Risk,49.47,Medium,Monitor and engage
3707-GNWHM,74.25,0.8175,Churn Risk,49.4,Medium,Monitor and engage
5382-SOYZL,2092.2,0.66,Monitor,49.39,Medium,Monitor and engage
6661-HBGWL,4399.5,0.48,High Value Customer,49.38,Medium,Monitor and engage
5628-FCGYG,1766.1,0.685,Monitor,49.36,Medium,Monitor and engage
6969-MVBAI,810.9,0.755,Churn Risk,49.09,Medium,Monitor and engage
8622-ZLFKO,544.5,0.775,Churn Risk,49.05,Medium,Monitor and engage
7130-VTEWQ,606.0,0.77,Churn Risk,49.04,Medium,Monitor and engage
8785-CJSHH,5988.0,0.35,High Value Customer,49.01,Medium,Monitor and engage
4342-HENTK,141.3,0.805,Churn Risk,48.96,Medium,Monitor and engage
1035-IPQPU,6520.5,0.305,VIP Customer,48.81,Medium,Monitor and engage
2277-DJJDL,5940.0,0.35,High Value Customer,48.79,Medium,Monitor and engage
8739-XNIKG,420.0,0.78,Churn Risk,48.76,Medium,Monitor and engage
1320-HTRDR,226.5,0.795,Churn Risk,48.76,Medium,Monitor and engage
1587-FKLZB,6567.0,0.3,VIP Customer,48.72,Medium,Monitor and engage
6230-BSUXY,85.0,0.805,Churn Risk,48.7,Medium,Monitor and engage
6372-RFVNS,78.8,0.805,Churn Risk,48.67,Medium,Monitor and engage
6630-UJZMY,333.0,0.785,Churn Risk,48.66,Medium,Monitor and engage
3422-LYEPQ,71.0,0.805,Churn Risk,48.63,Medium,Monitor and engage
3585-ISXZP,765.2,0.75,Churn Risk,48.58,Medium,Monitor and engage
4301-VVZKA,1206.4,0.715,Churn Risk,48.54,Medium,Monitor and engage
7273-TEFQD,123.45,0.795,Churn Risk,48.28,Medium,Monitor and engage
4445-ZJNMU,893.6999999999999,0.735,Churn Risk,48.28,Medium,Monitor and engage
4927-WWOOZ,182.9,0.79,Churn Risk,48.26,Medium,Monitor and engage
8443-ZRDBZ,304.2,0.78,Churn Risk,48.22,Medium,Monitor and engage
6710-HSJRD,6960.099999999999,0.26,VIP Customer,48.16,Medium,Monitor and engage
0376-YMCJC,2083.8,0.64,Monitor,48.15,Medium,Monitor and engage
1628-BIZYP,85.0,0.795,Churn Risk,48.1,Medium,Monitor and engage
0576-WNXXC,2579.85,0.6,Monitor,48.07,Medium,Monitor and engage
3006-XIMLN,188.4,0.785,Churn Risk,47.98,Medium,Monitor and engage
5167-ZFFMM,90.85,0.79,Churn Risk,47.83,Medium,Monitor and engage
2202-CUYXZ,84.85,0.79,Churn Risk,47.8,Medium,Monitor and engage
9611-CTWIH,268.35,0.775,Churn Risk,47.76,Medium,Monitor and engage
7952-OBOYL,269.54999999999995,0.775,Churn Risk,47.76,Medium,Monitor and engage
3756-VNWDH,6548.75,0.285,VIP Customer,47.74,Medium,Monitor and engage
2845-HSJCY,1221.5,0.7,Churn Risk,47.71,Medium,Monitor and engage
4229-CZMLL,449.4,0.76,Churn Risk,47.7,Medium,Monitor and engage
2307-FYNNL,7088.25,0.24,VIP Customer,47.56,Medium,Monitor and engage
7198-GLXTC,158.0,0.78,Churn Risk,47.54,Medium,Monitor and engage
0471-ARVMX,6500.7,0.285,VIP Customer,47.51,Medium,Monitor and engage
9334-GWGOW,523.9499999999999,0.75,Churn Risk,47.45,Medium,Monitor and engage
8058-DMYRU,4862.7,0.41,High Value Customer,47.35,Medium,Monitor and engage
7817-BOQPW,151.1,0.775,Churn Risk,47.21,Medium,Monitor and engage
5698-BQJOH,849.6,0.72,Churn Risk,47.17,Medium,Monitor and engage
2027-FECZV,1280.4,0.685,Monitor,47.09,Medium,Monitor and engage
3729-OWRVL,7172.75,0.225,VIP Customer,47.06,Medium,Monitor and engage
8083-YTZES,297.4,0.76,Churn Risk,46.99,Medium,Monitor and engage
4873-ILOLJ,2168.4,0.61,Monitor,46.74,Medium,Monitor and engage
0531-ZZJWQ,4070.0,0.46,High Value Customer,46.64,Medium,Monitor and engage
1444-VVSGW,8095.5,0.145,VIP Customer,46.57,Medium,Monitor and engage
9507-EXLTT,79.35,0.77,Churn Risk,46.57,Medium,Monitor and engage
8696-JKZNU,2821.25,0.555,Monitor,46.5,Medium,Monitor and engage
1400-MMYXY,317.70000000000005,0.75,Churn Risk,46.49,Medium,Monitor and engage
7036-TYDEC,7176.0,0.215,VIP Customer,46.47,Medium,Monitor and engage
3722-WPXTK,88.35,0.765,Churn Risk,46.31,Medium,Monitor and engage
2077-MPJQO,527.8000000000001,0.73,Churn Risk,46.27,Medium,Monitor and engage
3339-EAQNV,7002.0,0.225,VIP Customer,46.26,Medium,Monitor and engage
0390-DCFDQ,70.45,0.765,Churn Risk,46.23,Medium,Monitor and engage
5186-SAMNZ,69.5,0.765,Churn Risk,46.23,Medium,Monitor and engage
1867-BDVFH,817.8499999999999,0.705,Churn Risk,46.13,Medium,Monitor and engage
3976-NLDEZ,20.6,0.7670999999999999,Churn Risk,46.12,Medium,Monitor and engage
8873-GLDMH,443.1,0.7342,Churn Risk,46.12,Medium,Monitor and engage
1357-BIJKI,4912.5,0.385,High Value Customer,46.08,Medium,Monitor and engage
5144-TVGLP,3600.5,0.485,High Value Customer,45.94,Medium,Monitor and engage
7572-KPVKK,6451.099999999999,0.26,VIP Customer,45.78,Medium,Monitor and engage
3519-ZKXGG,227.55,0.745,Churn Risk,45.76,Medium,Monitor and engage
2386-OWURY,5527.4,0.33,High Value Customer,45.66,Medium,Monitor and engage
7363-QTBIW,717.75,0.705,Churn Risk,45.66,Medium,Monitor and engage
0679-IDSTG,69.25,0.755,Churn Risk,45.62,Medium,Monitor and engage
6892-XPFPU,2502.0,0.565,Monitor,45.61,Medium,Monitor and engage
2798-NYLMZ,7707.05,0.155,VIP Customer,45.36,Medium,Monitor and engage
8775-ERLNB,74.3,0.75,Churn Risk,45.35,Medium,Monitor and engage
5889-JTMUL,4752.5,0.385,High Value Customer,45.33,Medium,Monitor and engage
9844-FELAJ,7553.0,0.165,VIP Customer,45.24,Medium,Monitor and engage
6815-ABQFQ,6006.0,0.285,VIP Customer,45.2,Medium,Monitor and engage
9878-TNQGW,161.9,0.74,Churn Risk,45.16,Medium,Monitor and engage
0970-ETWGE,89.55,0.745,Churn Risk,45.12,Medium,Monitor and engage
0310-MVLET,6048.150000000001,0.28,VIP Customer,45.1,Medium,Monitor and engage
6646-QVXLR,6432.5,0.25,VIP Customer,45.09,Medium,Monitor and engage
5376-DEQCP,70.6,0.745,Churn Risk,45.03,Medium,Monitor and engage
0979-PHULV,6862.05,0.215,VIP Customer,45.0,Medium,Monitor and engage
5442-BHQNG,140.7,0.7367,Churn Risk,44.86,Medium,Monitor and engage
1980-KXVPM,225.15,0.73,Churn Risk,44.85,Medium,Monitor and engage
7748-UMTRK,3039.0,0.51,High Value Customer,44.82,Medium,Monitor and engage
9685-WKZGT,1049.3,0.665,Monitor,44.81,Medium,Monitor and engage
3312-UUMZW,3163.2,0.5,High Value Customer,44.8,Medium,Monitor and engage
9279-CJEOJ,2003.4,0.59,Monitor,44.77,Medium,Monitor and engage
9508-ILZDG,3275.9,0.49,High Value Customer,44.73,Medium,Monitor and engage
3677-IYRBF,60.8,0.74,Churn Risk,44.68,Medium,Monitor and engage
5804-HYIEZ,7423.5,0.165,VIP Customer,44.63,Medium,Monitor and engage
6166-ILMNY,139.5,0.7321,Churn Risk,44.58,Medium,Monitor and engage
2754-SDJRD,801.2,0.68,Monitor,44.55,Medium,Monitor and engage
7460-ITWWP,3874.5,0.44,High Value Customer,44.53,Medium,Monitor and engage
5360-LJCNJ,7465.650000000001,0.16,VIP Customer,44.53,Medium,Monitor and engage
0235-KGSLC,85.55,0.735,Churn Risk,44.5,Medium,Monitor and engage
4846-WHAFZ,2830.5,0.52,Monitor,44.44,Medium,Monitor and engage
3338-CVVEH,1134.6,0.65,Monitor,44.31,Medium,Monitor and engage
8089-UZWLX,7387.55,0.16,VIP Customer,44.16,Medium,Monitor and engage
8699-ASUFO,520.8000000000001,0.695,Monitor,44.14,Medium,Monitor and engage
4937-QPZPO,6093.900000000001,0.26,VIP Customer,44.11,Medium,Monitor and engage
8938-UMKPI,5000.8,0.345,High Value Customer,44.1,Medium,Monitor and engage
9351-HXDMR,7984.8,0.11,VIP Customer,43.96,Medium,Monitor and engage
2659-VXMWZ,7457.099999999999,0.15,VIP Customer,43.89,Medium,Monitor and engage
5650-YLIBA,2515.65,0.535,Monitor,43.87,Medium,Monitor and engage
2025-JKFWI,1287.0,0.63,Monitor,43.82,Medium,Monitor and engage
7209-JCUDS,949.0,0.655,Monitor,43.74,Medium,Monitor and engage
0871-URUWO,1329.25,0.625,Monitor,43.72,Medium,Monitor and engage
4753-PADAS,7081.900000000001,0.175,VIP Customer,43.63,Medium,Monitor and engage
5159-YFPKQ,151.6,0.715,Churn Risk,43.61,Medium,Monitor and engage
2761-OCIAX,149.4,0.715,Churn Risk,43.6,Medium,Monitor and engage
2252-JHJGE,6344.0,0.23,VIP Customer,43.48,Medium,Monitor and engage
0422-UXFAP,5041.349999999999,0.33,High Value Customer,43.39,Medium,Monitor and engage
0665-XHDJU,7156.8,0.165,VIP Customer,43.38,Medium,Monitor and engage
0616-ATFGB,25.05,0.72,Churn Risk,43.32,Medium,Monitor and engage
0486-HECZI,5321.25,0.305,High Value Customer,43.19,Medium,Monitor and engage
1936-UAFEH,7497.0,0.135,VIP Customer,43.17,Medium,Monitor and engage
7067-KSAZT,6906.25,0.18,VIP Customer,43.11,Medium,Monitor and engage
8033-VCZGH,5197.5,0.31,High Value Customer,42.92,Medium,Monitor and engage
3324-OIRTO,7430.150000000001,0.135,VIP Customer,42.86,Medium,Monitor and engage
2495-INZWQ,178.2,0.7,Churn Risk,42.83,Medium,Monitor and engage
4283-FUTGF,1517.15,0.595,Monitor,42.8,Medium,Monitor and engage
3030-YDNRM,598.8,0.665,Monitor,42.7,Medium,Monitor and engage
7571-YXDAD,149.8,0.7,Churn Risk,42.7,Medium,Monitor and engage
7409-KIUTL,71.0,0.705,Churn Risk,42.63,Medium,Monitor and engage
6559-RAKOZ,4799.55,0.335,High Value Customer,42.55,Medium,Monitor and engage
4115-NZRKS,624.0500000000001,0.66,Monitor,42.52,Medium,Monitor and engage
6080-TCMYC,3248.0,0.455,High Value Customer,42.5,Medium,Monitor and engage
7029-RPUAV,1707.65,0.575,Monitor,42.49,Medium,Monitor and engage
9747-DDZOS,73.5,0.7021999999999999,Churn Risk,42.48,Medium,Monitor and engage
0899-LIIBW,3428.9,0.44,High Value Customer,42.44,Medium,Monitor and engage
2522-AHJXR,6567.0,0.195,VIP Customer,42.42,Medium,Monitor and engage
5966-EMAZU,6944.0,0.165,VIP Customer,42.39,Medium,Monitor and engage
4512-ZUIYL,140.0,0.6954,Monitor,42.38,Medium,Monitor and engage
3721-CNEYS,141.9,0.695,Monitor,42.36,Medium,Monitor and engage
0164-APGRB,8272.800000000001,0.06,VIP Customer,42.3,Medium,Monitor and engage
5281-BUZGT,3270.6,0.45,High Value Customer,42.3,Medium,Monitor and engage
7005-CCBKV,506.4,0.665,Monitor,42.27,Medium,Monitor and engage
9715-WZCLW,6901.2,0.165,VIP Customer,42.19,Medium,Monitor and engage
3524-WQDSG,4269.9,0.37,High Value Customer,42.18,Medium,Monitor and engage
7181-BQYBV,102.45,0.695,Monitor,42.18,Medium,Monitor and engage
9278-VZKCD,5673.2,0.26,High Value Customer,42.14,Medium,Monitor and engage
1360-JYXKQ,5351.4,0.285,High Value Customer,42.14,Medium,Monitor and engage
3923-CSIHK,3552.5,0.425,High Value Customer,42.12,Medium,Monitor and engage
3199-XGZCY,602.0,0.65,Monitor,41.82,Medium,Monitor and engage
8433-WPJTV,6753.5,0.17,VIP Customer,41.8,Medium,Monitor and engage
0685-MLYYM,141.5,0.685,Monitor,41.76,Medium,Monitor and engage
4419-UJMUS,6855.15,0.16,VIP Customer,41.67,Medium,Monitor and engage
5373-SFODM,3069.0,0.455,High Value Customer,41.66,Medium,Monitor and engage
5501-TVMGM,55.25,0.69,Monitor,41.66,Medium,Monitor and engage
0524-IAVZO,2550.0,0.495,Monitor,41.63,Medium,Monitor and engage
7861-UVUFT,1264.5,0.595,Monitor,41.62,Medium,Monitor and engage
4627-MIHJH,7607.25,0.1,VIP Customer,41.59,Medium,Monitor and engage
5236-PERKL,6438.150000000001,0.19,VIP Customer,41.52,Medium,Monitor and engage
7279-BUYWN,4641.2,0.33,High Value Customer,41.51,Medium,Monitor and engage
6000-APYLU,727.1999999999999,0.635,Monitor,41.5,Medium,Monitor and engage
8541-QVFKM,588.0,0.645,Monitor,41.45,Medium,Monitor and engage
9128-CPXKI,5652.2,0.25,High Value Customer,41.44,Medium,Monitor and engage
0963-ZBDRN,3078.4,0.45,High Value Customer,41.4,Medium,Monitor and engage
2924-KHUVI,5630.8,0.25,High Value Customer,41.34,Medium,Monitor and engage
2019-HDCZY,6463.799999999999,0.185,VIP Customer,41.34,Medium,Monitor and engage
2101-RANCD,4020.5,0.375,High Value Customer,41.31,Medium,Monitor and engage
4706-AXVKM,932.8,0.615,Monitor,41.26,Medium,Monitor and engage
6845-RGTYS,4641.25,0.325,High Value Customer,41.21,Medium,Monitor and engage
2485-ITVKB,70.2,0.68,Monitor,41.13,Medium,Monitor and engage
2368-GAKKQ,7955.5,0.065,VIP Customer,41.12,Medium,Monitor and engage
0536-ACXIP,7887.599999999999,0.07,VIP Customer,41.1,Medium,Monitor and engage
2750-BJLSB,4873.900000000001,0.305,High Value Customer,41.1,Medium,Monitor and engage
1731-TVIUK,374.0,0.655,Monitor,41.05,Medium,Monitor and engage
1077-HUUJM,497.35,0.645,Monitor,41.03,Medium,Monitor and engage
9079-YEXQJ,5999.4,0.215,High Value Customer,40.97,Medium,Monitor and engage
7534-BFESC,1826.4,0.54,Monitor,40.94,Medium,Monitor and engage
4840-ORQXB,5866.0,0.225,High Value Customer,40.94,Medium,Monitor and engage
1024-GUALD,24.8,0.68,Monitor,40.92,Medium,Monitor and engage
2369-FEVNO,19.9,0.6799,Monitor,40.89,Medium,Monitor and engage
5419-CONWX,399.2,0.65,Monitor,40.87,Medium,Monitor and engage
9822-WMWVG,4366.5,0.34,High Value Customer,40.83,Medium,Monitor and engage
9692-TUSXH,1728.9,0.545,Monitor,40.79,Medium,Monitor and engage
8818-DOPVL,4804.7,0.305,High Value Customer,40.78,Medium,Monitor and engage
7251-XFOIL,5441.2,0.255,High Value Customer,40.76,Medium,Monitor and engage
0106-UGRDO,8004.0,0.055,VIP Customer,40.75,Medium,Monitor and engage
6608-QQLVK,50.5,0.675,Monitor,40.74,Medium,Monitor and engage
5226-NOZFC,2229.5,0.505,Monitor,40.73,Medium,Monitor and engage
3766-EJLFL,7415.4,0.1,VIP Customer,40.69,Medium,Monitor and engage
9054-FOWNV,1952.5,0.525,Monitor,40.63,Medium,Monitor and engage
2272-WUSPA,7974.0,0.055,VIP Customer,40.61,Medium,Monitor and engage
5136-GFPMB,4827.6,0.3,High Value Customer,40.59,Medium,Monitor and engage
5461-QKNTN,4054.9,0.36,High Value Customer,40.57,Medium,Monitor and engage
5480-HPRRX,75.9,0.67,Monitor,40.56,Medium,Monitor and engage
5052-PNLOS,316.04999999999995,0.65,Monitor,40.48,Medium,Monitor and engage
6664-FPDAC,6269.2,0.185,VIP Customer,40.43,Medium,Monitor and engage
3396-DKDEL,8060.5,0.045,VIP Customer,40.41,Medium,Monitor and engage
9070-BCKQP,7930.8,0.055,VIP Customer,40.4,Medium,Monitor and engage
8728-SKJLR,3044.25,0.435,High Value Customer,40.34,Medium,Monitor and engage
2480-EJWYP,5672.4,0.23,High Value Customer,40.34,Medium,Monitor and engage
9907-SWKKF,25.05,0.67,Monitor,40.32,Medium,Monitor and engage
9866-OCCKE,7902.0,0.055,VIP Customer,40.27,Medium,Monitor and engage
1112-CUNAO,1347.75,0.565,Monitor,40.21,Medium,Monitor and engage
8015-IHCGW,8316.0,0.02,VIP Customer,40.11,Medium,Monitor and engage
1016-DJTSV,557.6,0.625,Monitor,40.11,Medium,Monitor and engage
8361-LTMKD,297.6,0.645,Monitor,40.09,Medium,Monitor and engage
1360-XFJMR,7349.900000000001,0.095,VIP Customer,40.09,Medium,Monitor and engage
9576-SYUHJ,3372.55,0.405,High Value Customer,40.08,Medium,Monitor and engage
6777-TGHTM,5668.35,0.225,High Value Customer,40.02,Medium,Monitor and engage
4724-WXVWF,4579.200000000001,0.31,High Value Customer,40.02,Medium,Monitor and engage
7569-NMZYQ,8550.0,0.0,VIP Customer,40.0,Medium,Monitor and engage
1379-FRVEB,1365.0,0.56,Monitor,39.99,Medium,Monitor and engage
8821-XNHVZ,80.05,0.66,Monitor,39.97,Medium,Monitor and engage
1448-PWKYE,80.0,0.66,Monitor,39.97,Medium,Monitor and engage
3292-PBZEJ,1225.4,0.57,Monitor,39.93,Medium,Monitor and engage
6919-ELBGL,8276.4,0.02,VIP Customer,39.92,Medium,Monitor and engage
3858-VOBET,1723.85,0.53,Monitor,39.86,Medium,Monitor and engage
7529-ZDFXI,5121.45,0.265,High Value Customer,39.86,Medium,Monitor and engage
6734-FQAJX,7038.349999999999,0.115,VIP Customer,39.83,Medium,Monitor and engage
9924-JPRMC,8510.4,0.0,VIP Customer,39.81,Medium,Monitor and engage
9298-WGMRW,8316.0,0.015,VIP Customer,39.81,Medium,Monitor and engage
6270-OMFIW,5664.0,0.22,High Value Customer,39.7,Medium,Monitor and engage
2889-FPWRM,8481.6,0.0,VIP Customer,39.68,Medium,Monitor and engage
4983-CLMLV,5340.400000000001,0.245,High Value Customer,39.68,Medium,Monitor and engage
7410-YTJIK,528.15,0.62,Monitor,39.67,Medium,Monitor and engage
6680-WKXRZ,223.2,0.6433,Monitor,39.64,Medium,Monitor and engage
3810-DVDQQ,8467.199999999999,0.0,VIP Customer,39.61,Medium,Monitor and engage
6583-SZVGP,5188.799999999999,0.255,High Value Customer,39.58,Medium,Monitor and engage
9739-JLPQJ,8460.0,0.0,VIP Customer,39.58,Medium,Monitor and engage
6376-GAHQE,311.4,0.635,Monitor,39.56,Medium,Monitor and engage
4304-TSPVK,7813.200000000001,0.05,VIP Customer,39.55,Medium,Monitor and engage
4678-DVQEO,52.2,0.655,Monitor,39.54,Medium,Monitor and engage
6904-JLBGY,8449.199999999999,0.0,VIP Customer,39.53,Medium,Monitor and engage
1236-WFCDV,1266.3,0.56,Monitor,39.52,Medium,Monitor and engage
9819-FBNSV,2673.25,0.45,Monitor,39.51,Medium,Monitor and engage
2293-IJWPS,5742.75,0.21,High Value Customer,39.47,Medium,Monitor and engage
6650-BWFRT,8434.800000000001,0.0,VIP Customer,39.46,Medium,Monitor and engage
7359-WWYJV,8240.4,0.015,VIP Customer,39.45,Medium,Monitor and engage
6507-ZJSUR,2080.35,0.495,Monitor,39.43,Medium,Monitor and engage
1110-KYLGQ,6819.75,0.125,VIP Customer,39.41,Medium,Monitor and engage
8984-HPEMB,8424.15,0.0,VIP Customer,39.41,Medium,Monitor and engage
5574-NXZIU,6879.6,0.12,VIP Customer,39.39,Medium,Monitor and engage
9788-HNGUT,8420.4,0.0,VIP Customer,39.39,Medium,Monitor and engage
1488-PBLJN,8413.199999999999,0.0,VIP Customer,39.36,Medium,Monitor and engage
0017-IUDMW,8409.6,0.0,VIP Customer,39.34,Medium,Monitor and engage
3680-CTHUH,6996.0,0.11,VIP Customer,39.33,Medium,Monitor and engage
9637-CDTKZ,8215.199999999999,0.015,VIP Customer,39.33,Medium,Monitor and engage
8628-MFKAX,8406.0,0.0,VIP Customer,39.33,Medium,Monitor and engage
4806-KEXQR,319.6,0.63,Monitor,39.3,Medium,Monitor and engage
3567-PQTSO,5578.25,0.22,High Value Customer,39.3,Medium,Monitor and engage
2388-LAESQ,8269.199999999999,0.01,VIP Customer,39.29,Medium,Monitor and engage
3258-ZKPAI,8395.199999999999,0.0,VIP Customer,39.28,Medium,Monitor and engage
6374-NTQLP,7495.2,0.07,VIP Customer,39.27,Medium,Monitor and engage
1319-YLZJG,1015.2,0.575,Monitor,39.25,Medium,Monitor and engage
8650-RHRKE,118.6,0.645,Monitor,39.25,Medium,Monitor and engage
3963-RYFNS,8384.4,0.0,VIP Customer,39.23,Medium,Monitor and engage
2860-RANUS,1716.0,0.52,Monitor,39.23,Medium,Monitor and engage
0675-NCDYU,8380.800000000001,0.0,VIP Customer,39.21,Medium,Monitor and engage
9866-QEVEE,1634.0,0.525,Monitor,39.14,Medium,Monitor and engage
6047-YHPVI,348.5,0.625,Monitor,39.13,Medium,Monitor and engage
1480-BKXGA,8355.6,0.0,VIP Customer,39.09,Medium,Monitor and engage
3365-SAIGS,1420.35,0.54,Monitor,39.04,Medium,Monitor and engage
6319-IEJWJ,1804.0,0.51,Monitor,39.04,Medium,Monitor and engage
4376-KFVRS,8211.6,0.01,VIP Customer,39.02,Medium,Monitor and engage
1302-UHBDD,1799.0,0.51,Monitor,39.02,Medium,Monitor and engage
5914-XRFQB,8337.6,0.0,VIP Customer,39.01,Medium,Monitor and engage
6007-TCTST,8337.6,0.0,VIP Customer,39.01,Medium,Monitor and engage
8513-OLYGY,8337.6,0.0,VIP Customer,39.01,Medium,Monitor and engage
0432-CAJZV,272.1,0.6288,Monitor,39.0,Medium,Monitor and engage
