customer_id,ltv,ltv_segment,churn_risk,customer_segment
0679-IDSTG,69.25,Low Value,High Risk,Churn Risk
6892-XPFPU,2502.0,Medium Value,Medium Risk,Monitor
2798-NYLMZ,7707.05,Very High Value,Low Risk,VIP Customer
8775-ERLNB,74.3,Low Value,High Risk,Churn Risk
5889-JTMUL,4752.5,High Value,Low Risk,High Value Customer
9844-FELAJ,7553.0,Very High Value,Low Risk,VIP Customer
6815-ABQFQ,6006.0,Very High Value,Low Risk,VIP Customer
9878-TNQGW,161.9,Low Value,High Risk,Churn Risk
0970-ETWGE,89.55,Low Value,High Risk,Churn Risk
0310-MVLET,6048.150000000001,Very High Value,Low Risk,VIP Customer
6646-QVXLR,6432.5,Very High Value,Low Risk,VIP Customer
5376-DEQCP,70.6,Low Value,High Risk,Churn Risk
0979-PHULV,6862.05,Very High Value,Low Risk,VIP Customer
5442-BHQNG,140.7,Low Value,High Risk,Churn Risk
1980-KXVPM,225.15,Low Value,High Risk,Churn Risk
7748-UMTRK,3039.0,High Value,Medium Risk,High Value Customer
9685-WKZGT,1049.3,Medium Value,Medium Risk,Monitor
3312-UUMZW,3163.2,High Value,Medium Risk,High Value Customer
9279-CJEOJ,2003.4,Medium Value,Medium Risk,Monitor
9508-ILZDG,3275.9,High Value,Medium Risk,High Value Customer
3677-IYRBF,60.8,Low Value,High Risk,Churn Risk
5804-HYIEZ,7423.5,Very High Value,Low Risk,VIP Customer
6166-ILMNY,139.5,Low Value,High Risk,Churn Risk
2754-SDJRD,801.2,Low Value,Medium Risk,Monitor
7460-ITWWP,3874.5,High Value,Medium Risk,High Value Customer
5360-LJCNJ,7465.650000000001,Very High Value,Low Risk,VIP Customer
0235-KGSLC,85.55,Low Value,High Risk,Churn Risk
4846-WHAFZ,2830.5,Medium Value,Medium Risk,Monitor
3338-CVVEH,1134.6,Medium Value,Medium Risk,Monitor
8089-UZWLX,7387.55,Very High Value,Low Risk,VIP Customer
8699-ASUFO,520.8000000000001,Low Value,Medium Risk,Monitor
4937-QPZPO,6093.900000000001,Very High Value,Low Risk,VIP Customer
8938-UMKPI,5000.8,High Value,Low Risk,High Value Customer
9351-HXDMR,7984.8,Very High Value,Low Risk,VIP Customer
2659-VXMWZ,7457.099999999999,Very High Value,Low Risk,VIP Customer
5650-YLIBA,2515.65,Medium Value,Medium Risk,Monitor
2025-JKFWI,1287.0,Medium Value,Medium Risk,Monitor
7209-JCUDS,949.0,Low Value,Medium Risk,Monitor
0871-URUWO,1329.25,Medium Value,Medium Risk,Monitor
4753-PADAS,7081.900000000001,Very High Value,Low Risk,VIP Customer
5159-YFPKQ,151.6,Low Value,High Risk,Churn Risk
2761-OCIAX,149.4,Low Value,High Risk,Churn Risk
2252-JHJGE,6344.0,Very High Value,Low Risk,VIP Customer
0422-UXFAP,5041.349999999999,High Value,Low Risk,High Value Customer
0665-XHDJU,7156.8,Very High Value,Low Risk,VIP Customer
0616-ATFGB,25.05,Low Value,High Risk,Churn Risk
0486-HECZI,5321.25,High Value,Low Risk,High Value Customer
1936-UAFEH,7497.0,Very High Value,Low Risk,VIP Customer
7067-KSAZT,6906.25,Very High Value,Low Risk,VIP Customer
8033-VCZGH,5197.5,High Value,Low Risk,High Value Customer
3324-OIRTO,7430.150000000001,Very High Value,Low Risk,VIP Customer
2495-INZWQ,178.2,Low Value,High Risk,Churn Risk
4283-FUTGF,1517.15,Medium Value,Medium Risk,Monitor
3030-YDNRM,598.8,Low Value,Medium Risk,Monitor
7571-YXDAD,149.8,Low Value,High Risk,Churn Risk
7409-KIUTL,71.0,Low Value,High Risk,Churn Risk
6559-RAKOZ,4799.55,High Value,Low Risk,High Value Customer
4115-NZRKS,624.0500000000001,Low Value,Medium Risk,Monitor
6080-TCMYC,3248.0,High Value,Medium Risk,High Value Customer
7029-RPUAV,1707.65,Medium Value,Medium Risk,Monitor
9747-DDZOS,73.5,Low Value,High Risk,Churn Risk
0899-LIIBW,3428.9,High Value,Medium Risk,High Value Customer
2522-AHJXR,6567.0,Very High Value,Low Risk,VIP Customer
5966-EMAZU,6944.0,Very High Value,Low Risk,VIP Customer
4512-ZUIYL,140.0,Low Value,Medium Risk,Monitor
3721-CNEYS,141.9,Low Value,Medium Risk,Monitor
0164-APGRB,8272.800000000001,Very High Value,Low Risk,VIP Customer
5281-BUZGT,3270.6,High Value,Medium Risk,High Value Customer
7005-CCBKV,506.4,Low Value,Medium Risk,Monitor
9715-WZCLW,6901.2,Very High Value,Low Risk,VIP Customer
3524-WQDSG,4269.9,High Value,Low Risk,High Value Customer
7181-BQYBV,102.45,Low Value,Medium Risk,Monitor
9278-VZKCD,5673.2,High Value,Low Risk,High Value Customer
1360-JYXKQ,5351.4,High Value,Low Risk,High Value Customer
3923-CSIHK,3552.5,High Value,Medium Risk,High Value Customer
3199-XGZCY,602.0,Low Value,Medium Risk,Monitor
8433-WPJTV,6753.5,Very High Value,Low Risk,VIP Customer
0685-MLYYM,141.5,Low Value,Medium Risk,Monitor
4419-UJMUS,6855.15,Very High Value,Low Risk,VIP Customer
5373-SFODM,3069.0,High Value,Medium Risk,High Value Customer
5501-TVMGM,55.25,Low Value,Medium Risk,Monitor
0524-IAVZO,2550.0,Medium Value,Medium Risk,Monitor
7861-UVUFT,1264.5,Medium Value,Medium Risk,Monitor
4627-MIHJH,7607.25,Very High Value,Low Risk,VIP Customer
5236-PERKL,6438.150000000001,Very High Value,Low Risk,VIP Customer
7279-BUYWN,4641.2,High Value,Low Risk,High Value Customer
6000-APYLU,727.1999999999999,Low Value,Medium Risk,Monitor
8541-QVFKM,588.0,Low Value,Medium Risk,Monitor
9128-CPXKI,5652.2,High Value,Low Risk,High Value Customer
0963-ZBDRN,3078.4,High Value,Medium Risk,High Value Customer
2924-KHUVI,5630.8,High Value,Low Risk,High Value Customer
2019-HDCZY,6463.799999999999,Very High Value,Low Risk,VIP Customer
2101-RANCD,4020.5,High Value,Low Risk,High Value Customer
4706-AXVKM,932.8,Low Value,Medium Risk,Monitor
6845-RGTYS,4641.25,High Value,Low Risk,High Value Customer
2485-ITVKB,70.2,Low Value,Medium Risk,Monitor
2368-GAKKQ,7955.5,Very High Value,Low Risk,VIP Customer
0536-ACXIP,7887.599999999999,Very High Value,Low Risk,VIP Customer
2750-BJLSB,4873.900000000001,High Value,Low Risk,High Value Customer
1731-TVIUK,374.0,Low Value,Medium Risk,Monitor
1077-HUUJM,497.35,Low Value,Medium Risk,Monitor
9079-YEXQJ,5999.4,High Value,Low Risk,High Value Customer
7534-BFESC,1826.4,Medium Value,Medium Risk,Monitor
4840-ORQXB,5866.0,High Value,Low Risk,High Value Customer
1024-GUALD,24.8,Low Value,Medium Risk,Monitor
2369-FEVNO,19.9,Low Value,Medium Risk,Monitor
5419-CONWX,399.2,Low Value,Medium Risk,Monitor
9822-WMWVG,4366.5,High Value,Low Risk,High Value Customer
9692-TUSXH,1728.9,Medium Value,Medium Risk,Monitor
8818-DOPVL,4804.7,High Value,Low Risk,High Value Customer
7251-XFOIL,5441.2,High Value,Low Risk,High Value Customer
0106-UGRDO,8004.0,Very High Value,Low Risk,VIP Customer
6608-QQLVK,50.5,Low Value,Medium Risk,Monitor
5226-NOZFC,2229.5,Medium Value,Medium Risk,Monitor
3766-EJLFL,7415.4,Very High Value,Low Risk,VIP Customer
9054-FOWNV,1952.5,Medium Value,Medium Risk,Monitor
2272-WUSPA,7974.0,Very High Value,Low Risk,VIP Customer
5136-GFPMB,4827.6,High Value,Low Risk,High Value Customer
5461-QKNTN,4054.9,High Value,Low Risk,High Value Customer
5480-HPRRX,75.9,Low Value,Medium Risk,Monitor
5052-PNLOS,316.04999999999995,Low Value,Medium Risk,Monitor
6664-FPDAC,6269.2,Very High Value,Low Risk,VIP Customer
3396-DKDEL,8060.5,Very High Value,Low Risk,VIP Customer
9070-BCKQP,7930.8,Very High Value,Low Risk,VIP Customer
8728-SKJLR,3044.25,High Value,Medium Risk,High Value Customer
2480-EJWYP,5672.4,High Value,Low Risk,High Value Customer
9907-SWKKF,25.05,Low Value,Medium Risk,Monitor
9866-OCCKE,7902.0,Very High Value,Low Risk,VIP Customer
1112-CUNAO,1347.75,Medium Value,Medium Risk,Monitor
8015-IHCGW,8316.0,Very High Value,Low Risk,VIP Customer
1016-DJTSV,557.6,Low Value,Medium Risk,Monitor
8361-LTMKD,297.6,Low Value,Medium Risk,Monitor
1360-XFJMR,7349.900000000001,Very High Value,Low Risk,VIP Customer
9576-SYUHJ,3372.55,High Value,Medium Risk,High Value Customer
6777-TGHTM,5668.35,High Value,Low Risk,High Value Customer
4724-WXVWF,4579.200000000001,High Value,Low Risk,High Value Customer
7569-NMZYQ,8550.0,Very High Value,Low Risk,VIP Customer
1379-FRVEB,1365.0,Medium Value,Medium Risk,Monitor
8821-XNHVZ,80.05,Low Value,Medium Risk,Monitor
1448-PWKYE,80.0,Low Value,Medium Risk,Monitor
3292-PBZEJ,1225.4,Medium Value,Medium Risk,Monitor
6919-ELBGL,8276.4,Very High Value,Low Risk,VIP Customer
3858-VOBET,1723.85,Medium Value,Medium Risk,Monitor
7529-ZDFXI,5121.45,High Value,Low Risk,High Value Customer
6734-FQAJX,7038.349999999999,Very High Value,Low Risk,VIP Customer
9924-JPRMC,8510.4,Very High Value,Low Risk,VIP Customer
9298-WGMRW,8316.0,Very High Value,Low Risk,VIP Customer
6270-OMFIW,5664.0,High Value,Low Risk,High Value Customer
2889-FPWRM,8481.6,Very High Value,Low Risk,VIP Customer
4983-CLMLV,5340.400000000001,High Value,Low Risk,High Value Customer
7410-YTJIK,528.15,Low Value,Medium Risk,Monitor
6680-WKXRZ,223.2,Low Value,Medium Risk,Monitor
3810-DVDQQ,8467.199999999999,Very High Value,Low Risk,VIP Customer
6583-SZVGP,5188.799999999999,High Value,Low Risk,High Value Customer
9739-JLPQJ,8460.0,Very High Value,Low Risk,VIP Customer
6376-GAHQE,311.4,Low Value,Medium Risk,Monitor
4304-TSPVK,7813.200000000001,Very High Value,Low Risk,VIP Customer
4678-DVQEO,52.2,Low Value,Medium Risk,Monitor
6904-JLBGY,8449.199999999999,Very High Value,Low Risk,VIP Customer
1236-WFCDV,1266.3,Medium Value,Medium Risk,Monitor
9819-FBNSV,2673.25,Medium Value,Medium Risk,Monitor
2293-IJWPS,5742.75,High Value,Low Risk,High Value Customer
6650-BWFRT,8434.800000000001,Very High Value,Low Risk,VIP Customer
7359-WWYJV,8240.4,Very High Value,Low Risk,VIP Customer
6507-ZJSUR,2080.35,Medium Value,Medium Risk,Monitor
1110-KYLGQ,6819.75,Very High Value,Low Risk,VIP Customer
8984-HPEMB,8424.15,Very High Value,Low Risk,VIP Customer
5574-NXZIU,6879.6,Very High Value,Low Risk,VIP Customer
9788-HNGUT,8420.4,Very High Value,Low Risk,VIP Customer
1488-PBLJN,8413.199999999999,Very High Value,Low Risk,VIP Customer
0017-IUDMW,8409.6,Very High Value,Low Risk,VIP Customer
3680-CTHUH,6996.0,Very High Value,Low Risk,VIP Customer
9637-CDTKZ,8215.199999999999,Very High Value,Low Risk,VIP Customer
8628-MFKAX,8406.0,Very High Value,Low Risk,VIP Customer
4806-KEXQR,319.6,Low Value,Medium Risk,Monitor
3567-PQTSO,5578.25,High Value,Low Risk,High Value Customer
2388-LAESQ,8269.199999999999,Very High Value,Low Risk,VIP Customer
3258-ZKPAI,8395.199999999999,Very High Value,Low Risk,VIP Customer
6374-NTQLP,7495.2,Very High Value,Low Risk,VIP Customer
1319-YLZJG,1015.2,Medium Value,Medium Risk,Monitor
8650-RHRKE,118.6,Low Value,Medium Risk,Monitor
3963-RYFNS,8384.4,Very High Value,Low Risk,VIP Customer
2860-RANUS,1716.0,Medium Value,Medium Risk,Monitor
0675-NCDYU,8380.800000000001,Very High Value,Low Risk,VIP Customer
9866-QEVEE,1634.0,Medium Value,Medium Risk,Monitor
6047-YHPVI,348.5,Low Value,Medium Risk,Monitor
1480-BKXGA,8355.6,Very High Value,Low Risk,VIP Customer
3365-SAIGS,1420.35,Medium Value,Medium Risk,Monitor
6319-IEJWJ,1804.0,Medium Value,Medium Risk,Monitor
4376-KFVRS,8211.6,Very High Value,Low Risk,VIP Customer
1302-UHBDD,1799.0,Medium Value,Medium Risk,Monitor
5914-XRFQB,8337.6,Very High Value,Low Risk,VIP Customer
6007-TCTST,8337.6,Very High Value,Low Risk,VIP Customer
8513-OLYGY,8337.6,Very High Value,Low Risk,VIP Customer
0432-CAJZV,272.1,Low Value,Medium Risk,Monitor
5451-YHYPW,8334.0,Very High Value,Low Risk,VIP Customer
8606-CIQUL,8334.0,Very High Value,Low Risk,VIP Customer
1352-HNSAW,8323.199999999999,Very High Value,Low Risk,VIP Customer
8263-QMNTJ,8319.6,Very High Value,Low Risk,VIP Customer
9643-AVVWI,240.0,Low Value,Medium Risk,Monitor
8676-TRMJS,225.0,Low Value,Medium Risk,Monitor
2121-JAFOM,8319.6,Very High Value,Low Risk,VIP Customer
6297-NOOPG,7735.0,Very High Value,Low Risk,VIP Customer
6519-ZHPXP,7797.599999999999,Very High Value,Low Risk,VIP Customer
0256-LTHVJ,2269.4,Medium Value,Medium Risk,Monitor
3865-ZYKAD,5858.1,High Value,Low Risk,High Value Customer
2380-DAMQP,8290.800000000001,Very High Value,Low Risk,VIP Customer
0906-QVPMS,8290.800000000001,Very High Value,Low Risk,VIP Customer
6797-LNAQX,6881.0,Very High Value,Low Risk,VIP Customer
8454-AATJP,8283.6,Very High Value,Low Risk,VIP Customer
7495-OOKFY,645.2,Low Value,Medium Risk,Monitor
2323-ARSVR,7440.349999999999,Very High Value,Low Risk,VIP Customer
9927-DSWDF,2301.2,Medium Value,Medium Risk,Monitor
1989-PRJHP,2038.5,Medium Value,Medium Risk,Monitor
8280-MQRQN,50.45,Low Value,Medium Risk,Monitor
0186-CAERR,8257.3,Very High Value,Low Risk,VIP Customer
9402-ROUMJ,6716.75,Very High Value,Low Risk,VIP Customer
1779-PWPMG,8254.800000000001,Very High Value,Low Risk,VIP Customer
8879-XUAHX,8253.75,Very High Value,Low Risk,VIP Customer
8207-DMRVL,8247.6,Very High Value,Low Risk,VIP Customer
1894-IGFSG,1963.5,Medium Value,Medium Risk,Monitor
9710-ZUSHQ,3949.75,High Value,Low Risk,High Value Customer
5135-GRQJV,8244.0,Very High Value,Low Risk,VIP Customer
8975-SKGRX,8243.1,Very High Value,Low Risk,VIP Customer
2040-XBAVJ,8240.4,Very High Value,Low Risk,VIP Customer
2223-GDSHL,8239.55,Very High Value,Low Risk,VIP Customer
6128-AQBMT,2211.9500000000003,Medium Value,Medium Risk,Monitor
2587-EKXTS,4906.0,High Value,Low Risk,High Value Customer
0266-GMEAO,8229.6,Very High Value,Low Risk,VIP Customer
3892-NXAZG,8211.6,Very High Value,Low Risk,VIP Customer
2277-VWCNI,195.0,Low Value,Medium Risk,Monitor
9127-FHJBZ,8208.0,Very High Value,Low Risk,VIP Customer
3063-QFSZL,55.4,Low Value,Medium Risk,Monitor
0327-WFZSY,3900.0,High Value,Low Risk,High Value Customer
3258-SYSWS,8193.6,Very High Value,Low Risk,VIP Customer
2919-HBCJO,306.6,Low Value,Medium Risk,Monitor
6445-TNRXS,7799.6,Very High Value,Low Risk,VIP Customer
5038-ETMLM,8182.8,Very High Value,Low Risk,VIP Customer
9239-GZHZE,8182.8,Very High Value,Low Risk,VIP Customer
0004-TLHLJ,295.6,Low Value,Medium Risk,Monitor
3669-WHAFY,8175.650000000001,Very High Value,Low Risk,VIP Customer
8029-XYPWT,8168.55,Very High Value,Low Risk,VIP Customer
8670-ERCJH,8164.8,Very High Value,Low Risk,VIP Customer
7235-NXZCP,149.7,Low Value,Medium Risk,Monitor
3795-CAWEX,8158.5,Very High Value,Low Risk,VIP Customer
0749-IRGQE,588.9,Low Value,Medium Risk,Monitor
5129-JLPIS,2637.5,Medium Value,Medium Risk,Monitor
0023-XUOPT,1223.3,Medium Value,Medium Risk,Monitor
6712-OAWRH,2372.5,Medium Value,Medium Risk,Monitor
6859-QNXIQ,8143.2,Very High Value,Low Risk,VIP Customer
2001-EWBQU,6282.0,Very High Value,Low Risk,VIP Customer
2001-MCUUW,4997.900000000001,High Value,Low Risk,High Value Customer
5322-TEUJK,8136.599999999999,Very High Value,Low Risk,VIP Customer
9576-ANLXO,208.65,Low Value,Medium Risk,Monitor
4412-YLTKF,2107.35,Medium Value,Medium Risk,Monitor
9481-IEBZY,8128.8,Very High Value,Low Risk,VIP Customer
7471-MQPOS,5175.900000000001,High Value,Low Risk,High Value Customer
7663-CUXZB,6711.25,Very High Value,Low Risk,VIP Customer
6175-IRFIT,393.75,Low Value,Medium Risk,Monitor
0082-OQIQY,2731.8,Medium Value,Medium Risk,Monitor
8024-XNAFQ,7732.8,Very High Value,Low Risk,VIP Customer
5183-KLYEM,8118.0,Very High Value,Low Risk,VIP Customer
8778-LMWTJ,673.65,Low Value,Medium Risk,Monitor
1074-AMIOH,5737.25,High Value,Low Risk,High Value Customer
1090-ESELR,7596.0,Very High Value,Low Risk,VIP Customer
3520-FJGCV,8107.2,Very High Value,Low Risk,VIP Customer
3726-TBHQT,8094.0,Very High Value,Low Risk,VIP Customer
4829-ZLJTK,8092.8,Very High Value,Low Risk,VIP Customer
7912-SYRQT,525.6999999999999,Low Value,Medium Risk,Monitor
0730-KOAVE,2829.0,Medium Value,Medium Risk,Monitor
0201-OAMXR,8088.5,Very High Value,Low Risk,VIP Customer
7255-SSFBC,8082.0,Very High Value,Low Risk,VIP Customer
5271-YNWVR,7694.200000000001,Very High Value,Low Risk,VIP Customer
7218-HKQFK,188.4,Low Value,Medium Risk,Monitor
8915-NNTRC,7754.400000000001,Very High Value,Low Risk,VIP Customer
0378-CJKPV,8071.2,Very High Value,Low Risk,VIP Customer
9258-CNWAC,8069.150000000001,Very High Value,Low Risk,VIP Customer
0958-YHXGP,489.30000000000007,Low Value,Medium Risk,Monitor
4983-CCWMC,208.8,Low Value,Medium Risk,Monitor
5989-AXPUC,8064.799999999999,Very High Value,Low Risk,VIP Customer
9944-AEXBM,2740.8,Medium Value,Medium Risk,Monitor
2193-SFWQW,8060.400000000001,Very High Value,Low Risk,VIP Customer
0619-OLYUR,8056.8,Very High Value,Low Risk,VIP Customer
1150-WFARN,7286.25,Very High Value,Low Risk,VIP Customer
8266-VBFQL,361.6,Low Value,Medium Risk,Monitor
5445-PZWGX,6324.0,Very High Value,Low Risk,VIP Customer
0181-RITDD,6705.3,Very High Value,Low Risk,VIP Customer
9840-DVNDC,483.0,Low Value,Medium Risk,Monitor
7176-WRTNX,8046.5,Very High Value,Low Risk,VIP Customer
0430-IHCDJ,735.0,Low Value,Medium Risk,Monitor
5304-EFJLP,8038.8,Very High Value,Low Risk,VIP Customer
2469-DTSGX,8038.8,Very High Value,Low Risk,VIP Customer
8853-TZDGH,8035.2,Very High Value,Low Risk,VIP Customer
9475-NNDGC,8033.650000000001,Very High Value,Low Risk,VIP Customer
