customer_id,churn_probability,churn_risk,ltv,customer_segment,retention_priority_score,retention_priority
6023-YEBUP,0.845,High Risk,302.85,Churn Risk,52.12,High
4750-ZRXIU,0.84,High Risk,338.4,Churn Risk,51.98,High
8593-WHYHV,0.84,High Risk,255.9,Churn Risk,51.6,High
6979-ZNSFF,0.805,High Risk,696.4,Churn Risk,51.56,High
7134-MJPDY,0.33,Low Risk,6788.099999999999,VIP Customer,51.56,High
4713-LZDRV,0.845,High Risk,159.2,Churn Risk,51.44,High
5196-SGOAK,0.85,High Risk,75.7,Churn Risk,51.35,High
4587-VVTOX,0.805,High Risk,631.8,Churn Risk,51.26,High
2034-GDRCN,0.84,High Risk,180.8,Churn Risk,51.25,High
1240-KNSEZ,0.8525,High Risk,20.1,Churn Risk,51.24,High
6821-BUXUX,0.755,High Risk,1256.45,Churn Risk,51.18,High
7180-PISOG,0.845,High Risk,74.5,Churn Risk,51.05,High
2865-TCHJW,0.82,High Risk,356.8,Churn Risk,50.87,High
5380-WJKOV,0.565,Medium Risk,3615.9,High Value Customer,50.82,High
8397-MVTAZ,0.58,Medium Risk,3401.7,High Value Customer,50.71,High
2959-MJHIC,0.82,High Risk,321.4,Churn Risk,50.7,High
8752-STIVR,0.82,High Risk,316.0,Churn Risk,50.68,High
3672-YITQD,0.605,Medium Risk,3027.6,High Value Customer,50.46,High
1768-ZAIFU,0.835,High Risk,25.2,Churn Risk,50.22,High
2254-DLXRI,0.825,High Risk,79.15,Churn Risk,49.87,Medium
1853-UDXBW,0.825,High Risk,70.0,Churn Risk,49.83,Medium
2985-FMWYF,0.66,Medium Risk,2150.5,Monitor,49.66,Medium
6856-RAURS,0.8142,High Risk,149.8,Churn Risk,49.55,Medium
6857-VWJDT,0.8170999999999999,High Risk,95.65,Churn Risk,49.47,Medium
3707-GNWHM,0.8175,High Risk,74.25,Churn Risk,49.4,Medium
5382-SOYZL,0.66,Medium Risk,2092.2,Monitor,49.39,Medium
6661-HBGWL,0.48,Medium Risk,4399.5,High Value Customer,49.38,Medium
5628-FCGYG,0.685,Medium Risk,1766.1,Monitor,49.36,Medium
6969-MVBAI,0.755,High Risk,810.9,Churn Risk,49.09,Medium
8622-ZLFKO,0.775,High Risk,544.5,Churn Risk,49.05,Medium
7130-VTEWQ,0.77,High Risk,606.0,Churn Risk,49.04,Medium
8785-CJSHH,0.35,Low Risk,5988.0,High Value Customer,49.01,Medium
4342-HENTK,0.805,High Risk,141.3,Churn Risk,48.96,Medium
1035-IPQPU,0.305,Low Risk,6520.5,VIP Customer,48.81,Medium
2277-DJJDL,0.35,Low Risk,5940.0,High Value Customer,48.79,Medium
8739-XNIKG,0.78,High Risk,420.0,Churn Risk,48.76,Medium
1320-HTRDR,0.795,High Risk,226.5,Churn Risk,48.76,Medium
1587-FKLZB,0.3,Low Risk,6567.0,VIP Customer,48.72,Medium
6230-BSUXY,0.805,High Risk,85.0,Churn Risk,48.7,Medium
6372-RFVNS,0.805,High Risk,78.8,Churn Risk,48.67,Medium
6630-UJZMY,0.785,High Risk,333.0,Churn Risk,48.66,Medium
3422-LYEPQ,0.805,High Risk,71.0,Churn Risk,48.63,Medium
3585-ISXZP,0.75,High Risk,765.2,Churn Risk,48.58,Medium
4301-VVZKA,0.715,High Risk,1206.4,Churn Risk,48.54,Medium
7273-TEFQD,0.795,High Risk,123.45,Churn Risk,48.28,Medium
4445-ZJNMU,0.735,High Risk,893.6999999999999,Churn Risk,48.28,Medium
4927-WWOOZ,0.79,High Risk,182.9,Churn Risk,48.26,Medium
8443-ZRDBZ,0.78,High Risk,304.2,Churn Risk,48.22,Medium
6710-HSJRD,0.26,Low Risk,6960.099999999999,VIP Customer,48.16,Medium
0376-YMCJC,0.64,Medium Risk,2083.8,Monitor,48.15,Medium
1628-BIZYP,0.795,High Risk,85.0,Churn Risk,48.1,Medium
0576-WNXXC,0.6,Medium Risk,2579.85,Monitor,48.07,Medium
3006-XIMLN,0.785,High Risk,188.4,Churn Risk,47.98,Medium
5167-ZFFMM,0.79,High Risk,90.85,Churn Risk,47.83,Medium
2202-CUYXZ,0.79,High Risk,84.85,Churn Risk,47.8,Medium
9611-CTWIH,0.775,High Risk,268.35,Churn Risk,47.76,Medium
7952-OBOYL,0.775,High Risk,269.54999999999995,Churn Risk,47.76,Medium
3756-VNWDH,0.285,Low Risk,6548.75,VIP Customer,47.74,Medium
2845-HSJCY,0.7,High Risk,1221.5,Churn Risk,47.71,Medium
4229-CZMLL,0.76,High Risk,449.4,Churn Risk,47.7,Medium
2307-FYNNL,0.24,Low Risk,7088.25,VIP Customer,47.56,Medium
7198-GLXTC,0.78,High Risk,158.0,Churn Risk,47.54,Medium
0471-ARVMX,0.285,Low Risk,6500.7,VIP Customer,47.51,Medium
9334-GWGOW,0.75,High Risk,523.9499999999999,Churn Risk,47.45,Medium
8058-DMYRU,0.41,Medium Risk,4862.7,High Value Customer,47.35,Medium
7817-BOQPW,0.775,High Risk,151.1,Churn Risk,47.21,Medium
5698-BQJOH,0.72,High Risk,849.6,Churn Risk,47.17,Medium
2027-FECZV,0.685,Medium Risk,1280.4,Monitor,47.09,Medium
3729-OWRVL,0.225,Low Risk,7172.75,VIP Customer,47.06,Medium
8083-YTZES,0.76,High Risk,297.4,Churn Risk,46.99,Medium
4873-ILOLJ,0.61,Medium Risk,2168.4,Monitor,46.74,Medium
0531-ZZJWQ,0.46,Medium Risk,4070.0,High Value Customer,46.64,Medium
1444-VVSGW,0.145,Low Risk,8095.5,VIP Customer,46.57,Medium
9507-EXLTT,0.77,High Risk,79.35,Churn Risk,46.57,Medium
8696-JKZNU,0.555,Medium Risk,2821.25,Monitor,46.5,Medium
1400-MMYXY,0.75,High Risk,317.70000000000005,Churn Risk,46.49,Medium
7036-TYDEC,0.215,Low Risk,7176.0,VIP Customer,46.47,Medium
3722-WPXTK,0.765,High Risk,88.35,Churn Risk,46.31,Medium
2077-MPJQO,0.73,High Risk,527.8000000000001,Churn Risk,46.27,Medium
3339-EAQNV,0.225,Low Risk,7002.0,VIP Customer,46.26,Medium
0390-DCFDQ,0.765,High Risk,70.45,Churn Risk,46.23,Medium
5186-SAMNZ,0.765,High Risk,69.5,Churn Risk,46.23,Medium
1867-BDVFH,0.705,High Risk,817.8499999999999,Churn Risk,46.13,Medium
3976-NLDEZ,0.7670999999999999,High Risk,20.6,Churn Risk,46.12,Medium
8873-GLDMH,0.7342,High Risk,443.1,Churn Risk,46.12,Medium
1357-BIJKI,0.385,Low Risk,4912.5,High Value Customer,46.08,Medium
5144-TVGLP,0.485,Medium Risk,3600.5,High Value Customer,45.94,Medium
7572-KPVKK,0.26,Low Risk,6451.099999999999,VIP Customer,45.78,Medium
3519-ZKXGG,0.745,High Risk,227.55,Churn Risk,45.76,Medium
2386-OWURY,0.33,Low Risk,5527.4,High Value Customer,45.66,Medium
7363-QTBIW,0.705,High Risk,717.75,Churn Risk,45.66,Medium
0679-IDSTG,0.755,High Risk,69.25,Churn Risk,45.62,Medium
6892-XPFPU,0.565,Medium Risk,2502.0,Monitor,45.61,Medium
2798-NYLMZ,0.155,Low Risk,7707.05,VIP Customer,45.36,Medium
8775-ERLNB,0.75,High Risk,74.3,Churn Risk,45.35,Medium
5889-JTMUL,0.385,Low Risk,4752.5,High Value Customer,45.33,Medium
9844-FELAJ,0.165,Low Risk,7553.0,VIP Customer,45.24,Medium
6815-ABQFQ,0.285,Low Risk,6006.0,VIP Customer,45.2,Medium
9878-TNQGW,0.74,High Risk,161.9,Churn Risk,45.16,Medium
0970-ETWGE,0.745,High Risk,89.55,Churn Risk,45.12,Medium
0310-MVLET,0.28,Low Risk,6048.150000000001,VIP Customer,45.1,Medium
6646-QVXLR,0.25,Low Risk,6432.5,VIP Customer,45.09,Medium
5376-DEQCP,0.745,High Risk,70.6,Churn Risk,45.03,Medium
0979-PHULV,0.215,Low Risk,6862.05,VIP Customer,45.0,Medium
5442-BHQNG,0.7367,High Risk,140.7,Churn Risk,44.86,Medium
1980-KXVPM,0.73,High Risk,225.15,Churn Risk,44.85,Medium
7748-UMTRK,0.51,Medium Risk,3039.0,High Value Customer,44.82,Medium
9685-WKZGT,0.665,Medium Risk,1049.3,Monitor,44.81,Medium
3312-UUMZW,0.5,Medium Risk,3163.2,High Value Customer,44.8,Medium
9279-CJEOJ,0.59,Medium Risk,2003.4,Monitor,44.77,Medium
9508-ILZDG,0.49,Medium Risk,3275.9,High Value Customer,44.73,Medium
3677-IYRBF,0.74,High Risk,60.8,Churn Risk,44.68,Medium
5804-HYIEZ,0.165,Low Risk,7423.5,VIP Customer,44.63,Medium
6166-ILMNY,0.7321,High Risk,139.5,Churn Risk,44.58,Medium
2754-SDJRD,0.68,Medium Risk,801.2,Monitor,44.55,Medium
7460-ITWWP,0.44,Medium Risk,3874.5,High Value Customer,44.53,Medium
5360-LJCNJ,0.16,Low Risk,7465.650000000001,VIP Customer,44.53,Medium
0235-KGSLC,0.735,High Risk,85.55,Churn Risk,44.5,Medium
4846-WHAFZ,0.52,Medium Risk,2830.5,Monitor,44.44,Medium
3338-CVVEH,0.65,Medium Risk,1134.6,Monitor,44.31,Medium
8089-UZWLX,0.16,Low Risk,7387.55,VIP Customer,44.16,Medium
8699-ASUFO,0.695,Medium Risk,520.8000000000001,Monitor,44.14,Medium
4937-QPZPO,0.26,Low Risk,6093.900000000001,VIP Customer,44.11,Medium
8938-UMKPI,0.345,Low Risk,5000.8,High Value Customer,44.1,Medium
9351-HXDMR,0.11,Low Risk,7984.8,VIP Customer,43.96,Medium
2659-VXMWZ,0.15,Low Risk,7457.099999999999,VIP Customer,43.89,Medium
5650-YLIBA,0.535,Medium Risk,2515.65,Monitor,43.87,Medium
2025-JKFWI,0.63,Medium Risk,1287.0,Monitor,43.82,Medium
7209-JCUDS,0.655,Medium Risk,949.0,Monitor,43.74,Medium
0871-URUWO,0.625,Medium Risk,1329.25,Monitor,43.72,Medium
4753-PADAS,0.175,Low Risk,7081.900000000001,VIP Customer,43.63,Medium
5159-YFPKQ,0.715,High Risk,151.6,Churn Risk,43.61,Medium
2761-OCIAX,0.715,High Risk,149.4,Churn Risk,43.6,Medium
2252-JHJGE,0.23,Low Risk,6344.0,VIP Customer,43.48,Medium
0422-UXFAP,0.33,Low Risk,5041.349999999999,High Value Customer,43.39,Medium
0665-XHDJU,0.165,Low Risk,7156.8,VIP Customer,43.38,Medium
0616-ATFGB,0.72,High Risk,25.05,Churn Risk,43.32,Medium
0486-HECZI,0.305,Low Risk,5321.25,High Value Customer,43.19,Medium
1936-UAFEH,0.135,Low Risk,7497.0,VIP Customer,43.17,Medium
7067-KSAZT,0.18,Low Risk,6906.25,VIP Customer,43.11,Medium
8033-VCZGH,0.31,Low Risk,5197.5,High Value Customer,42.92,Medium
3324-OIRTO,0.135,Low Risk,7430.150000000001,VIP Customer,42.86,Medium
2495-INZWQ,0.7,High Risk,178.2,Churn Risk,42.83,Medium
4283-FUTGF,0.595,Medium Risk,1517.15,Monitor,42.8,Medium
3030-YDNRM,0.665,Medium Risk,598.8,Monitor,42.7,Medium
7571-YXDAD,0.7,High Risk,149.8,Churn Risk,42.7,Medium
7409-KIUTL,0.705,High Risk,71.0,Churn Risk,42.63,Medium
6559-RAKOZ,0.335,Low Risk,4799.55,High Value Customer,42.55,Medium
4115-NZRKS,0.66,Medium Risk,624.0500000000001,Monitor,42.52,Medium
6080-TCMYC,0.455,Medium Risk,3248.0,High Value Customer,42.5,Medium
7029-RPUAV,0.575,Medium Risk,1707.65,Monitor,42.49,Medium
9747-DDZOS,0.7021999999999999,High Risk,73.5,Churn Risk,42.48,Medium
0899-LIIBW,0.44,Medium Risk,3428.9,High Value Customer,42.44,Medium
2522-AHJXR,0.195,Low Risk,6567.0,VIP Customer,42.42,Medium
5966-EMAZU,0.165,Low Risk,6944.0,VIP Customer,42.39,Medium
4512-ZUIYL,0.6954,Medium Risk,140.0,Monitor,42.38,Medium
3721-CNEYS,0.695,Medium Risk,141.9,Monitor,42.36,Medium
0164-APGRB,0.06,Low Risk,8272.800000000001,VIP Customer,42.3,Medium
5281-BUZGT,0.45,Medium Risk,3270.6,High Value Customer,42.3,Medium
7005-CCBKV,0.665,Medium Risk,506.4,Monitor,42.27,Medium
9715-WZCLW,0.165,Low Risk,6901.2,VIP Customer,42.19,Medium
3524-WQDSG,0.37,Low Risk,4269.9,High Value Customer,42.18,Medium
7181-BQYBV,0.695,Medium Risk,102.45,Monitor,42.18,Medium
9278-VZKCD,0.26,Low Risk,5673.2,High Value Customer,42.14,Medium
1360-JYXKQ,0.285,Low Risk,5351.4,High Value Customer,42.14,Medium
3923-CSIHK,0.425,Medium Risk,3552.5,High Value Customer,42.12,Medium
3199-XGZCY,0.65,Medium Risk,602.0,Monitor,41.82,Medium
8433-WPJTV,0.17,Low Risk,6753.5,VIP Customer,41.8,Medium
0685-MLYYM,0.685,Medium Risk,141.5,Monitor,41.76,Medium
4419-UJMUS,0.16,Low Risk,6855.15,VIP Customer,41.67,Medium
5373-SFODM,0.455,Medium Risk,3069.0,High Value Customer,41.66,Medium
5501-TVMGM,0.69,Medium Risk,55.25,Monitor,41.66,Medium
0524-IAVZO,0.495,Medium Risk,2550.0,Monitor,41.63,Medium
7861-UVUFT,0.595,Medium Risk,1264.5,Monitor,41.62,Medium
4627-MIHJH,0.1,Low Risk,7607.25,VIP Customer,41.59,Medium
5236-PERKL,0.19,Low Risk,6438.150000000001,VIP Customer,41.52,Medium
7279-BUYWN,0.33,Low Risk,4641.2,High Value Customer,41.51,Medium
6000-APYLU,0.635,Medium Risk,727.1999999999999,Monitor,41.5,Medium
8541-QVFKM,0.645,Medium Risk,588.0,Monitor,41.45,Medium
9128-CPXKI,0.25,Low Risk,5652.2,High Value Customer,41.44,Medium
0963-ZBDRN,0.45,Medium Risk,3078.4,High Value Customer,41.4,Medium
2924-KHUVI,0.25,Low Risk,5630.8,High Value Customer,41.34,Medium
2019-HDCZY,0.185,Low Risk,6463.799999999999,VIP Customer,41.34,Medium
2101-RANCD,0.375,Low Risk,4020.5,High Value Customer,41.31,Medium
4706-AXVKM,0.615,Medium Risk,932.8,Monitor,41.26,Medium
6845-RGTYS,0.325,Low Risk,4641.25,High Value Customer,41.21,Medium
2485-ITVKB,0.68,Medium Risk,70.2,Monitor,41.13,Medium
2368-GAKKQ,0.065,Low Risk,7955.5,VIP Customer,41.12,Medium
0536-ACXIP,0.07,Low Risk,7887.599999999999,VIP Customer,41.1,Medium
2750-BJLSB,0.305,Low Risk,4873.900000000001,High Value Customer,41.1,Medium
1731-TVIUK,0.655,Medium Risk,374.0,Monitor,41.05,Medium
1077-HUUJM,0.645,Medium Risk,497.35,Monitor,41.03,Medium
9079-YEXQJ,0.215,Low Risk,5999.4,High Value Customer,40.97,Medium
7534-BFESC,0.54,Medium Risk,1826.4,Monitor,40.94,Medium
4840-ORQXB,0.225,Low Risk,5866.0,High Value Customer,40.94,Medium
1024-GUALD,0.68,Medium Risk,24.8,Monitor,40.92,Medium
2369-FEVNO,0.6799,Medium Risk,19.9,Monitor,40.89,Medium
5419-CONWX,0.65,Medium Risk,399.2,Monitor,40.87,Medium
9822-WMWVG,0.34,Low Risk,4366.5,High Value Customer,40.83,Medium
9692-TUSXH,0.545,Medium Risk,1728.9,Monitor,40.79,Medium
8818-DOPVL,0.305,Low Risk,4804.7,High Value Customer,40.78,Medium
7251-XFOIL,0.255,Low Risk,5441.2,High Value Customer,40.76,Medium
0106-UGRDO,0.055,Low Risk,8004.0,VIP Customer,40.75,Medium
6608-QQLVK,0.675,Medium Risk,50.5,Monitor,40.74,Medium
5226-NOZFC,0.505,Medium Risk,2229.5,Monitor,40.73,Medium
3766-EJLFL,0.1,Low Risk,7415.4,VIP Customer,40.69,Medium
9054-FOWNV,0.525,Medium Risk,1952.5,Monitor,40.63,Medium
2272-WUSPA,0.055,Low Risk,7974.0,VIP Customer,40.61,Medium
5136-GFPMB,0.3,Low Risk,4827.6,High Value Customer,40.59,Medium
5461-QKNTN,0.36,Low Risk,4054.9,High Value Customer,40.57,Medium
5480-HPRRX,0.67,Medium Risk,75.9,Monitor,40.56,Medium
5052-PNLOS,0.65,Medium Risk,316.04999999999995,Monitor,40.48,Medium
6664-FPDAC,0.185,Low Risk,6269.2,VIP Customer,40.43,Medium
3396-DKDEL,0.045,Low Risk,8060.5,VIP Customer,40.41,Medium
9070-BCKQP,0.055,Low Risk,7930.8,VIP Customer,40.4,Medium
8728-SKJLR,0.435,Medium Risk,3044.25,High Value Customer,40.34,Medium
2480-EJWYP,0.23,Low Risk,5672.4,High Value Customer,40.34,Medium
9907-SWKKF,0.67,Medium Risk,25.05,Monitor,40.32,Medium
9866-OCCKE,0.055,Low Risk,7902.0,VIP Customer,40.27,Medium
1112-CUNAO,0.565,Medium Risk,1347.75,Monitor,40.21,Medium
8015-IHCGW,0.02,Low Risk,8316.0,VIP Customer,40.11,Medium
1016-DJTSV,0.625,Medium Risk,557.6,Monitor,40.11,Medium
8361-LTMKD,0.645,Medium Risk,297.6,Monitor,40.09,Medium
1360-XFJMR,0.095,Low Risk,7349.900000000001,VIP Customer,40.09,Medium
9576-SYUHJ,0.405,Medium Risk,3372.55,High Value Customer,40.08,Medium
6777-TGHTM,0.225,Low Risk,5668.35,High Value Customer,40.02,Medium
4724-WXVWF,0.31,Low Risk,4579.200000000001,High Value Customer,40.02,Medium
7569-NMZYQ,0.0,Low Risk,8550.0,VIP Customer,40.0,Medium
1379-FRVEB,0.56,Medium Risk,1365.0,Monitor,39.99,Medium
8821-XNHVZ,0.66,Medium Risk,80.05,Monitor,39.97,Medium
1448-PWKYE,0.66,Medium Risk,80.0,Monitor,39.97,Medium
3292-PBZEJ,0.57,Medium Risk,1225.4,Monitor,39.93,Medium
6919-ELBGL,0.02,Low Risk,8276.4,VIP Customer,39.92,Medium
3858-VOBET,0.53,Medium Risk,1723.85,Monitor,39.86,Medium
7529-ZDFXI,0.265,Low Risk,5121.45,High Value Customer,39.86,Medium
6734-FQAJX,0.115,Low Risk,7038.349999999999,VIP Customer,39.83,Medium
9924-JPRMC,0.0,Low Risk,8510.4,VIP Customer,39.81,Medium
9298-WGMRW,0.015,Low Risk,8316.0,VIP Customer,39.81,Medium
6270-OMFIW,0.22,Low Risk,5664.0,High Value Customer,39.7,Medium
2889-FPWRM,0.0,Low Risk,8481.6,VIP Customer,39.68,Medium
4983-CLMLV,0.245,Low Risk,5340.400000000001,High Value Customer,39.68,Medium
7410-YTJIK,0.62,Medium Risk,528.15,Monitor,39.67,Medium
6680-WKXRZ,0.6433,Medium Risk,223.2,Monitor,39.64,Medium
3810-DVDQQ,0.0,Low Risk,8467.199999999999,VIP Customer,39.61,Medium
6583-SZVGP,0.255,Low Risk,5188.799999999999,High Value Customer,39.58,Medium
9739-JLPQJ,0.0,Low Risk,8460.0,VIP Customer,39.58,Medium
6376-GAHQE,0.635,Medium Risk,311.4,Monitor,39.56,Medium
4304-TSPVK,0.05,Low Risk,7813.200000000001,VIP Customer,39.55,Medium
4678-DVQEO,0.655,Medium Risk,52.2,Monitor,39.54,Medium
6904-JLBGY,0.0,Low Risk,8449.199999999999,VIP Customer,39.53,Medium
1236-WFCDV,0.56,Medium Risk,1266.3,Monitor,39.52,Medium
9819-FBNSV,0.45,Medium Risk,2673.25,Monitor,39.51,Medium
2293-IJWPS,0.21,Low Risk,5742.75,High Value Customer,39.47,Medium
6650-BWFRT,0.0,Low Risk,8434.800000000001,VIP Customer,39.46,Medium
7359-WWYJV,0.015,Low Risk,8240.4,VIP Customer,39.45,Medium
6507-ZJSUR,0.495,Medium Risk,2080.35,Monitor,39.43,Medium
1110-KYLGQ,0.125,Low Risk,6819.75,VIP Customer,39.41,Medium
8984-HPEMB,0.0,Low Risk,8424.15,VIP Customer,39.41,Medium
5574-NXZIU,0.12,Low Risk,6879.6,VIP Customer,39.39,Medium
9788-HNGUT,0.0,Low Risk,8420.4,VIP Customer,39.39,Medium
1488-PBLJN,0.0,Low Risk,8413.199999999999,VIP Customer,39.36,Medium
0017-IUDMW,0.0,Low Risk,8409.6,VIP Customer,39.34,Medium
3680-CTHUH,0.11,Low Risk,6996.0,VIP Customer,39.33,Medium
9637-CDTKZ,0.015,Low Risk,8215.199999999999,VIP Customer,39.33,Medium
8628-MFKAX,0.0,Low Risk,8406.0,VIP Customer,39.33,Medium
4806-KEXQR,0.63,Medium Risk,319.6,Monitor,39.3,Medium
3567-PQTSO,0.22,Low Risk,5578.25,High Value Customer,39.3,Medium
2388-LAESQ,0.01,Low Risk,8269.199999999999,VIP Customer,39.29,Medium
3258-ZKPAI,0.0,Low Risk,8395.199999999999,VIP Customer,39.28,Medium
6374-NTQLP,0.07,Low Risk,7495.2,VIP Customer,39.27,Medium
1319-YLZJG,0.575,Medium Risk,1015.2,Monitor,39.25,Medium
8650-RHRKE,0.645,Medium Risk,118.6,Monitor,39.25,Medium
3963-RYFNS,0.0,Low Risk,8384.4,VIP Customer,39.23,Medium
2860-RANUS,0.52,Medium Risk,1716.0,Monitor,39.23,Medium
0675-NCDYU,0.0,Low Risk,8380.800000000001,VIP Customer,39.21,Medium
9866-QEVEE,0.525,Medium Risk,1634.0,Monitor,39.14,Medium
6047-YHPVI,0.625,Medium Risk,348.5,Monitor,39.13,Medium
1480-BKXGA,0.0,Low Risk,8355.6,VIP Customer,39.09,Medium
3365-SAIGS,0.54,Medium Risk,1420.35,Monitor,39.04,Medium
6319-IEJWJ,0.51,Medium Risk,1804.0,Monitor,39.04,Medium
4376-KFVRS,0.01,Low Risk,8211.6,VIP Customer,39.02,Medium
1302-UHBDD,0.51,Medium Risk,1799.0,Monitor,39.02,Medium
5914-XRFQB,0.0,Low Risk,8337.6,VIP Customer,39.01,Medium
6007-TCTST,0.0,Low Risk,8337.6,VIP Customer,39.01,Medium
8513-OLYGY,0.0,Low Risk,8337.6,VIP Customer,39.01,Medium
0432-CAJZV,0.6288,Medium Risk,272.1,Monitor,39.0,Medium
5451-YHYPW,0.0,Low Risk,8334.0,VIP Customer,38.99,Medium
8606-CIQUL,0.0,Low Risk,8334.0,VIP Customer,38.99,Medium
1352-HNSAW,0.0,Low Risk,8323.199999999999,VIP Customer,38.94,Medium
8263-QMNTJ,0.0,Low Risk,8319.6,VIP Customer,38.92,Medium
9643-AVVWI,0.63,Medium Risk,240.0,Monitor,38.92,Medium
8676-TRMJS,0.6312,Medium Risk,225.0,Monitor,38.92,Medium
2121-JAFOM,0.0,Low Risk,8319.6,VIP Customer,38.92,Medium
6297-NOOPG,0.045,Low Risk,7735.0,VIP Customer,38.89,Medium
6519-ZHPXP,0.04,Low Risk,7797.599999999999,VIP Customer,38.88,Medium
0256-LTHVJ,0.47,Medium Risk,2269.4,Monitor,38.82,Medium
3865-ZYKAD,0.19,Low Risk,5858.1,High Value Customer,38.81,Medium
2380-DAMQP,0.0,Low Risk,8290.800000000001,VIP Customer,38.79,Medium
0906-QVPMS,0.0,Low Risk,8290.800000000001,VIP Customer,38.79,Medium
6797-LNAQX,0.11,Low Risk,6881.0,VIP Customer,38.79,Medium
8454-AATJP,0.0,Low Risk,8283.6,VIP Customer,38.75,Medium
7495-OOKFY,0.595,Medium Risk,645.2,Monitor,38.72,Medium
2323-ARSVR,0.065,Low Risk,7440.349999999999,VIP Customer,38.71,Medium
9927-DSWDF,0.465,Medium Risk,2301.2,Monitor,38.67,Medium
1989-PRJHP,0.485,Medium Risk,2038.5,Monitor,38.64,Medium
8280-MQRQN,0.64,Medium Risk,50.45,Monitor,38.64,Medium
0186-CAERR,0.0,Low Risk,8257.3,VIP Customer,38.63,Medium
9402-ROUMJ,0.12,Low Risk,6716.75,VIP Customer,38.62,Medium
1779-PWPMG,0.0,Low Risk,8254.800000000001,VIP Customer,38.62,Medium
8879-XUAHX,0.0,Low Risk,8253.75,VIP Customer,38.61,Medium
8207-DMRVL,0.0,Low Risk,8247.6,VIP Customer,38.59,Medium
1894-IGFSG,0.49,Medium Risk,1963.5,Monitor,38.59,Medium
9710-ZUSHQ,0.335,Low Risk,3949.75,High Value Customer,38.58,Medium
