customer_id,tenure,monthly_charges,total_charges,contract,internet_service,churn,monthly_revenue,estimated_lifespan,ltv,revenue_per_month,ltv_segment,predicted_churn,churn_probability,churn_risk,customer_segment
6572-ADKRS,46,74.8,3548.3,Month-to-month,Fiber optic,No,74.8,46,3440.8,77.13695652173914,High Value,,0.0,Low Risk,High Value Customer
5380-WJKOV,34,106.35,3549.25,Month-to-month,Fiber optic,Yes,106.35,34,3615.9,104.38970588235294,High Value,Yes,0.565,Medium Risk,High Value Customer
8168-UQWWF,11,97.85,1105.4,Month-to-month,Fiber optic,Yes,97.85,11,1076.35,100.4909090909091,Medium Value,,0.0,Low Risk,Low Priority
8865-TNMNX,10,49.55,475.7,One year,DSL,No,49.55,10,495.5,47.57,Low Value,,0.0,Low Risk,Low Priority
9489-DEDVP,70,69.2,4872.35,Two year,DSL,No,69.2,70,4844.0,69.605,High Value,,0.0,Low Risk,High Value Customer
9867-JCZSP,17,20.75,418.25,One year,No,No,20.75,17,352.75,24.602941176470587,Low Value,,0.0,Low Risk,Low Priority
4671-VJLCL,63,79.85,4861.45,Two year,DSL,No,79.85,63,5030.549999999999,77.16587301587302,High Value,,0.0,Low Risk,High Value Customer
4080-IIARD,13,76.2,981.45,Month-to-month,DSL,No,76.2,13,990.6,75.49615384615385,Low Value,,0.0,Low Risk,Low Priority
3714-NTNFO,49,84.5,3906.7,Month-to-month,Fiber optic,No,84.5,49,4140.5,79.72857142857143,High Value,,0.0,Low Risk,High Value Customer
5948-UJZLF,2,49.25,97.0,Month-to-month,DSL,No,49.25,2,98.5,48.5,Low Value,,0.0,Low Risk,Low Priority
7760-OYPDY,2,80.65,144.15,Month-to-month,Fiber optic,Yes,80.65,2,161.3,72.075,Low Value,,0.0,Low Risk,Low Priority
7639-LIAYI,52,79.75,4217.8,Two year,DSL,No,79.75,52,4147.0,81.11153846153846,High Value,,0.0,Low Risk,High Value Customer
2954-PIBKO,69,64.15,4254.1,Two year,DSL,No,64.15,69,4426.35,61.6536231884058,High Value,No,0.065,Low Risk,High Value Customer
8012-SOUDQ,43,90.25,3838.75,Month-to-month,Fiber optic,No,90.25,43,3880.75,89.27325581395348,High Value,,0.0,Low Risk,High Value Customer
9420-LOJKX,15,99.1,1426.4,Month-to-month,Fiber optic,Yes,99.1,15,1486.5,95.09333333333332,Medium Value,No,0.485,Medium Risk,Monitor
6575-SUVOI,25,69.5,1752.65,Month-to-month,DSL,No,69.5,25,1737.5,70.10600000000001,Medium Value,,0.0,Low Risk,Low Priority
7495-OOKFY,8,80.65,633.3,Month-to-month,Fiber optic,Yes,80.65,8,645.2,79.1625,Low Value,Yes,0.595,Medium Risk,Monitor
4667-QONEA,60,74.85,4456.35,One year,DSL,No,74.85,60,4491.0,74.27250000000001,High Value,,0.0,Low Risk,High Value Customer
1658-BYGOY,18,95.45,1752.55,Month-to-month,Fiber optic,Yes,95.45,18,1718.1,97.36388888888888,Medium Value,,0.0,Low Risk,Low Priority
8769-KKTPH,63,99.65,6311.2,One year,Fiber optic,No,99.65,63,6277.950000000001,100.17777777777778,Very High Value,,0.0,Low Risk,VIP Customer
5067-XJQFU,66,108.45,7076.35,One year,Fiber optic,No,108.45,66,7157.7,107.21742424242424,Very High Value,,0.0,Low Risk,VIP Customer
3957-SQXML,34,24.95,894.3,Two year,No,No,24.95,34,848.3,26.302941176470583,Low Value,,0.0,Low Risk,Low Priority
5954-BDFSG,72,107.5,7853.7,Two year,Fiber optic,No,107.5,72,7740.0,109.07916666666668,Very High Value,,0.0,Low Risk,VIP Customer
0434-CSFON,47,100.5,4707.1,Month-to-month,Fiber optic,No,100.5,47,4723.5,100.15106382978723,High Value,,0.0,Low Risk,High Value Customer
1215-FIGMP,60,89.9,5450.7,Month-to-month,Fiber optic,No,89.9,60,5394.0,90.845,High Value,,0.0,Low Risk,High Value Customer
0526-SXDJP,72,42.1,2962.0,Two year,DSL,No,42.1,72,3031.2000000000003,41.138888888888886,High Value,,0.0,Low Risk,High Value Customer
0557-ASKVU,18,54.4,957.1,One year,DSL,No,54.4,18,979.2,53.172222222222224,Low Value,,0.0,Low Risk,Low Priority
5698-BQJOH,9,94.4,857.25,Month-to-month,Fiber optic,Yes,94.4,9,849.6,95.25,Low Value,Yes,0.72,High Risk,Churn Risk
5122-CYFXA,3,75.3,244.1,Month-to-month,DSL,No,75.3,3,225.9,81.36666666666666,Low Value,,0.0,Low Risk,Low Priority
8627-ZYGSZ,47,78.9,3650.35,One year,Fiber optic,No,78.9,47,3708.3,77.66702127659575,High Value,,0.0,Low Risk,High Value Customer
3410-YOQBQ,31,79.2,2497.2,Two year,DSL,No,79.2,31,2455.2000000000003,80.55483870967741,Medium Value,,0.0,Low Risk,Low Priority
3170-NMYVV,50,20.15,930.9,Two year,No,No,20.15,50,1007.5,18.618,Medium Value,,0.0,Low Risk,Low Priority
7410-OIEDU,10,79.85,887.35,Month-to-month,Fiber optic,No,79.85,10,798.5,88.735,Low Value,,0.0,Low Risk,Low Priority
2273-QCKXA,1,49.05,49.05,Month-to-month,DSL,No,49.05,1,49.05,49.05,Low Value,,0.0,Low Risk,Low Priority
0731-EBJQB,52,20.4,1090.65,One year,No,No,20.4,52,1060.8,20.974038461538463,Medium Value,,0.0,Low Risk,Low Priority
1891-QRQSA,64,111.6,7099.0,Two year,Fiber optic,No,111.6,64,7142.4,110.921875,Very High Value,,0.0,Low Risk,VIP Customer
8028-PNXHQ,62,24.25,1424.6,Two year,No,No,24.25,62,1503.5,22.97741935483871,Medium Value,No,0.0,Low Risk,Low Priority
5630-AHZIL,3,64.5,177.4,Month-to-month,DSL,No,64.5,3,193.5,59.13333333333333,Low Value,No,0.245,Low Risk,Low Priority
2673-CXQEU,56,110.5,6139.5,One year,Fiber optic,No,110.5,56,6188.0,109.63392857142856,Very High Value,,0.0,Low Risk,VIP Customer
6416-JNVRK,46,55.65,2688.85,One year,DSL,No,55.65,46,2559.9,58.45326086956521,Medium Value,,0.0,Low Risk,Low Priority
5590-ZSKRV,8,54.65,482.25,Month-to-month,DSL,No,54.65,8,437.2,60.28125,Low Value,,0.0,Low Risk,Low Priority
0191-ZHSKZ,30,74.75,2111.3,Month-to-month,DSL,No,74.75,30,2242.5,70.37666666666668,Medium Value,,0.0,Low Risk,Low Priority
3887-PBQAO,45,25.9,1216.6,One year,No,No,25.9,45,1165.5,27.035555555555558,Medium Value,,0.0,Low Risk,Low Priority
5919-TMRGD,1,79.35,79.35,Month-to-month,Fiber optic,Yes,79.35,1,79.35,79.35,Low Value,,0.0,Low Risk,Low Priority
8108-UXRQN,11,50.55,565.35,Month-to-month,DSL,No,50.55,11,556.05,51.39545454545455,Low Value,,0.0,Low Risk,Low Priority
9191-MYQKX,7,75.15,496.9,Month-to-month,Fiber optic,Yes,75.15,7,526.0500000000001,70.98571428571428,Low Value,,0.0,Low Risk,Low Priority
9919-YLNNG,42,103.8,4327.5,Month-to-month,Fiber optic,No,103.8,42,4359.599999999999,103.03571428571428,High Value,,0.0,Low Risk,High Value Customer
0318-ZOPWS,49,20.15,973.35,Two year,No,No,20.15,49,987.35,19.864285714285717,Low Value,,0.0,Low Risk,Low Priority
4445-ZJNMU,9,99.3,918.75,Month-to-month,Fiber optic,No,99.3,9,893.6999999999999,102.08333333333331,Low Value,Yes,0.735,High Risk,Churn Risk
4808-YNLEU,35,62.15,2215.45,One year,DSL,No,62.15,35,2175.25,63.29857142857142,Medium Value,,0.0,Low Risk,Low Priority
1862-QRWPE,48,20.65,1057.0,Two year,No,No,20.65,48,991.2,22.02083333333333,Low Value,No,0.0,Low Risk,Low Priority
2796-NNUFI,46,19.95,927.1,Two year,No,No,19.95,46,917.7,20.15434782608696,Low Value,,0.0,Low Risk,Low Priority
3016-KSVCP,29,33.75,1009.25,Month-to-month,DSL,No,33.75,29,978.75,34.80172413793103,Low Value,,0.0,Low Risk,Low Priority
4767-HZZHQ,30,82.05,2570.2,Month-to-month,Fiber optic,No,82.05,30,2461.5,85.67333333333333,Medium Value,,0.0,Low Risk,Low Priority
2424-WVHPL,1,74.7,74.7,Month-to-month,Fiber optic,No,74.7,1,74.7,74.7,Low Value,,0.0,Low Risk,Low Priority
7233-PAHHL,66,84.0,5714.25,Two year,DSL,No,84.0,66,5544.0,86.57954545454545,High Value,,0.0,Low Risk,High Value Customer
6067-NGCEU,65,111.05,7107.0,Month-to-month,Fiber optic,No,111.05,65,7218.25,109.33846153846154,Very High Value,,0.0,Low Risk,VIP Customer
9848-JQJTX,72,100.9,7459.05,Two year,Fiber optic,No,100.9,72,7264.8,103.59791666666666,Very High Value,,0.0,Low Risk,VIP Customer
8637-XJIVR,12,78.95,927.35,Month-to-month,Fiber optic,Yes,78.95,12,947.4,77.27916666666667,Low Value,,0.0,Low Risk,Low Priority
9803-FTJCG,71,66.85,4748.7,One year,DSL,No,66.85,71,4746.349999999999,66.8830985915493,High Value,,0.0,Low Risk,High Value Customer
0278-YXOOG,5,21.05,113.85,Month-to-month,No,Yes,21.05,5,105.25,22.77,Low Value,,0.0,Low Risk,Low Priority
3212-KXOCR,52,21.0,1107.2,Two year,No,No,21.0,52,1092.0,21.29230769230769,Medium Value,,0.0,Low Risk,Low Priority
4598-XLKNJ,25,98.5,2514.5,Month-to-month,Fiber optic,Yes,98.5,25,2462.5,100.58,Medium Value,,0.0,Low Risk,Low Priority
6380-ARCEH,1,20.2,20.2,Month-to-month,No,No,20.2,1,20.2,20.2,Low Value,,0.0,Low Risk,Low Priority
3679-XASPY,1,19.45,19.45,Month-to-month,No,No,19.45,1,19.45,19.45,Low Value,No,0.44,Medium Risk,Monitor
7123-WQUHX,38,95.0,3605.6,One year,Fiber optic,No,95.0,38,3610.0,94.88421052631578,High Value,,0.0,Low Risk,High Value Customer
5386-THSLQ,66,45.55,3027.25,One year,DSL,No,45.55,66,3006.3,45.86742424242424,High Value,,0.0,Low Risk,High Value Customer
3192-NQECA,68,110.0,7611.85,Two year,Fiber optic,Yes,110.0,68,7480.0,111.93897058823528,Very High Value,,0.0,Low Risk,VIP Customer
6180-YBIQI,5,24.3,100.2,Month-to-month,DSL,No,24.3,5,121.5,20.04,Low Value,,0.0,Low Risk,Low Priority
6728-DKUCO,72,104.15,7303.05,One year,Fiber optic,No,104.15,72,7498.8,101.43125,Very High Value,,0.0,Low Risk,VIP Customer
9750-BOOHV,32,30.15,927.65,One year,DSL,No,30.15,32,964.8,28.9890625,Low Value,,0.0,Low Risk,Low Priority
8597-CWYHH,43,94.35,3921.3,One year,Fiber optic,No,94.35,43,4057.05,91.19302325581396,High Value,,0.0,Low Risk,High Value Customer
2848-YXSMW,72,19.4,1363.25,Two year,No,No,19.4,72,1396.8,18.93402777777778,Medium Value,,0.0,Low Risk,Low Priority
0486-HECZI,55,96.75,5238.9,Month-to-month,Fiber optic,Yes,96.75,55,5321.25,95.25272727272728,High Value,No,0.305,Low Risk,High Value Customer
4549-ZDQYY,52,57.95,3042.25,One year,DSL,No,57.95,52,3013.4,58.50480769230769,High Value,,0.0,Low Risk,High Value Customer
5712-AHQNN,43,91.65,3954.1,Month-to-month,Fiber optic,No,91.65,43,3940.95,91.95581395348836,High Value,,0.0,Low Risk,High Value Customer
4846-WHAFZ,37,76.5,2868.15,Month-to-month,Fiber optic,Yes,76.5,37,2830.5,77.51756756756757,Medium Value,Yes,0.52,Medium Risk,Monitor
5256-SKJGO,64,54.6,3423.5,Two year,DSL,No,54.6,64,3494.4,53.4921875,High Value,,0.0,Low Risk,High Value Customer
3071-VBYPO,3,89.85,248.4,Month-to-month,Fiber optic,No,89.85,3,269.54999999999995,82.8,Low Value,,0.0,Low Risk,Low Priority
9560-BBZXK,36,31.05,1126.35,Two year,DSL,No,31.05,36,1117.8,31.2875,Medium Value,,0.0,Low Risk,Low Priority
5299-RULOA,10,100.25,1064.65,Month-to-month,Fiber optic,Yes,100.25,10,1002.5,106.465,Medium Value,,0.0,Low Risk,Low Priority
8402-OOOHJ,41,20.65,835.15,Two year,No,No,20.65,41,846.65,20.36951219512195,Low Value,,0.0,Low Risk,Low Priority
9445-ZUEQE,27,85.2,2151.6,Month-to-month,Fiber optic,No,85.2,27,2300.4,79.68888888888888,Medium Value,,0.0,Low Risk,Low Priority
1091-SOZGA,56,99.8,5515.45,One year,Fiber optic,No,99.8,56,5588.8,98.49017857142856,High Value,,0.0,Low Risk,High Value Customer
2928-HLDBA,6,20.7,112.75,Month-to-month,No,No,20.7,6,124.2,18.791666666666668,Low Value,,0.0,Low Risk,Low Priority
0404-SWRVG,3,74.4,229.55,Month-to-month,Fiber optic,Yes,74.4,3,223.2,76.51666666666667,Low Value,,0.0,Low Risk,Low Priority
6497-TILVL,7,50.7,350.35,Month-to-month,DSL,No,50.7,7,354.90000000000003,50.05,Low Value,No,0.1,Low Risk,Low Priority
7219-TLZHO,4,20.85,62.9,Month-to-month,No,No,20.85,4,83.4,15.725,Low Value,,0.0,Low Risk,Low Priority
4622-YNKIJ,33,88.95,3027.65,Two year,Fiber optic,No,88.95,33,2935.35,91.7469696969697,Medium Value,,0.0,Low Risk,Low Priority
4412-YLTKF,27,78.05,2135.5,Month-to-month,Fiber optic,Yes,78.05,27,2107.35,79.0925925925926,Medium Value,No,0.47,Medium Risk,Monitor
6734-PSBAW,72,23.55,1723.95,Two year,No,No,23.55,72,1695.6,23.94375,Medium Value,,0.0,Low Risk,Low Priority
3930-ZGWVE,1,19.75,19.75,Month-to-month,No,No,19.75,1,19.75,19.75,Low Value,No,0.3387,Low Risk,Low Priority
2639-UGMAZ,71,56.45,3985.35,One year,DSL,No,56.45,71,4007.95,56.131690140845066,High Value,,0.0,Low Risk,High Value Customer
2876-GZYZC,13,85.95,1215.65,Month-to-month,Fiber optic,No,85.95,13,1117.35,93.51153846153846,Medium Value,,0.0,Low Risk,Low Priority
6207-WIOLX,25,58.6,1502.65,Month-to-month,DSL,Yes,58.6,25,1465.0,60.106,Medium Value,,0.0,Low Risk,Low Priority
8587-XYZSF,67,50.55,3260.1,Two year,DSL,No,50.55,67,3386.85,48.65820895522388,High Value,,0.0,Low Risk,High Value Customer
3091-FYHKI,1,35.45,35.45,Month-to-month,DSL,Yes,35.45,1,35.45,35.45,Low Value,,0.0,Low Risk,Low Priority
2372-HWUHI,2,44.35,81.25,Month-to-month,DSL,Yes,44.35,2,88.7,40.625,Low Value,,0.0,Low Risk,Low Priority
7799-LGRDP,43,25.7,1188.2,Two year,No,No,25.7,43,1105.1,27.632558139534886,Medium Value,,0.0,Low Risk,Low Priority
7850-VWJUU,23,75.0,1778.5,Month-to-month,Fiber optic,No,75.0,23,1725.0,77.32608695652173,Medium Value,,0.0,Low Risk,Low Priority
3774-VBNXY,64,20.2,1277.75,Two year,No,No,20.2,64,1292.8,19.96484375,Medium Value,,0.0,Low Risk,Low Priority
6217-KDYWC,57,19.6,1170.55,Two year,No,No,19.6,57,1117.2,20.5359649122807,Medium Value,,0.0,Low Risk,Low Priority
0390-DCFDQ,1,70.45,70.45,Month-to-month,Fiber optic,Yes,70.45,1,70.45,70.45,Low Value,Yes,0.765,High Risk,Churn Risk
3146-MSEGF,72,88.05,6425.65,Two year,DSL,No,88.05,72,6339.599999999999,89.24513888888889,Very High Value,,0.0,Low Risk,VIP Customer
4080-OGPJL,8,71.15,563.65,Month-to-month,DSL,Yes,71.15,8,569.2,70.45625,Low Value,,0.0,Low Risk,Low Priority
1095-WGNGG,61,101.05,5971.25,Two year,Fiber optic,No,101.05,61,6164.05,97.88934426229508,Very High Value,,0.0,Low Risk,VIP Customer
2636-SJDOU,64,84.3,5289.05,One year,Fiber optic,No,84.3,64,5395.2,82.64140625,High Value,,0.0,Low Risk,High Value Customer
1131-QQZEB,71,23.95,1756.2,Two year,No,No,23.95,71,1700.45,24.735211267605635,Medium Value,,0.0,Low Risk,Low Priority
5716-EZXZN,65,99.05,6416.7,Two year,Fiber optic,No,99.05,65,6438.25,98.71846153846154,Very High Value,,0.0,Low Risk,VIP Customer
6837-BJYDQ,3,19.6,61.35,One year,No,No,19.6,3,58.8,20.45,Low Value,,0.0,Low Risk,Low Priority
2135-RXIHG,1,45.65,45.65,Month-to-month,DSL,Yes,45.65,1,45.65,45.65,Low Value,,0.0,Low Risk,Low Priority
6440-DKQGE,30,64.5,1929.95,One year,DSL,No,64.5,30,1935.0,64.33166666666666,Medium Value,,0.0,Low Risk,Low Priority
3466-BYAVD,15,69.5,1071.4,Month-to-month,DSL,No,69.5,15,1042.5,71.42666666666668,Medium Value,,0.0,Low Risk,Low Priority
3780-YVMFA,8,68.55,564.35,Month-to-month,DSL,No,68.55,8,548.4,70.54375,Low Value,No,0.39,Low Risk,Low Priority
3874-EQOEP,7,95.0,655.5,Month-to-month,Fiber optic,Yes,95.0,7,665.0,93.64285714285714,Low Value,,0.0,Low Risk,Low Priority
1679-JRFBR,70,108.15,7930.55,One year,Fiber optic,No,108.15,70,7570.5,113.29357142857144,Very High Value,,0.0,Low Risk,VIP Customer
9073-ZZIAY,62,86.1,5215.25,Two year,DSL,No,86.1,62,5338.2,84.11693548387096,High Value,No,0.015,Low Risk,High Value Customer
3077-RSNTJ,6,19.7,113.5,Month-to-month,No,No,19.7,6,118.2,18.916666666666668,Low Value,No,0.045,Low Risk,Low Priority
6551-GNYDG,14,80.9,1152.8,Month-to-month,Fiber optic,No,80.9,14,1132.6,82.34285714285714,Medium Value,,0.0,Low Risk,Low Priority
9167-APMXZ,22,84.15,1821.95,Month-to-month,Fiber optic,No,84.15,22,1851.3,82.81590909090909,Medium Value,No,0.47,Medium Risk,Monitor
2749-CTKAJ,22,20.15,419.9,One year,No,No,20.15,22,443.3,19.08636363636364,Low Value,,0.0,Low Risk,Low Priority
6371-NZYEG,16,64.25,1024.0,Two year,DSL,No,64.25,16,1028.0,64.0,Medium Value,,0.0,Low Risk,Low Priority
7554-NEWDD,10,25.7,251.6,Two year,No,No,25.7,10,257.0,25.16,Low Value,,0.0,Low Risk,Low Priority
8992-VONJD,13,56.0,764.55,Month-to-month,DSL,No,56.0,13,728.0,58.81153846153846,Low Value,,0.0,Low Risk,Low Priority
0867-MKZVY,20,82.4,1592.35,Month-to-month,Fiber optic,Yes,82.4,20,1648.0,79.61749999999999,Medium Value,,0.0,Low Risk,Low Priority
4482-EWFMI,2,69.7,135.2,Month-to-month,Fiber optic,No,69.7,2,139.4,67.6,Low Value,,0.0,Low Risk,Low Priority
4648-YPBTM,53,73.9,3958.25,Two year,DSL,No,73.9,53,3916.7,74.68396226415095,High Value,No,0.06,Low Risk,High Value Customer
2907-ILJBN,11,20.6,233.9,One year,No,No,20.6,11,226.6,21.263636363636365,Low Value,No,0.04,Low Risk,Low Priority
6345-FZOQH,69,19.9,1363.45,Two year,No,No,19.9,69,1373.1,19.76014492753623,Medium Value,No,0.015,Low Risk,Low Priority
3376-BMGFE,4,70.9,273.0,Month-to-month,Fiber optic,Yes,70.9,4,283.6,68.25,Low Value,,0.0,Low Risk,Low Priority
5997-OPVFA,72,89.05,6254.45,Two year,DSL,No,89.05,72,6411.599999999999,86.86736111111111,Very High Value,,0.0,Low Risk,VIP Customer
3445-HXXGF,58,45.3,2651.2,Month-to-month,DSL,Yes,45.3,58,2627.4,45.710344827586205,Medium Value,,0.0,Low Risk,Low Priority
1159-WFSGR,16,20.4,321.4,Month-to-month,No,No,20.4,16,326.4,20.0875,Low Value,,0.0,Low Risk,Low Priority
7654-YWJUF,43,84.25,3539.25,One year,Fiber optic,No,84.25,43,3622.75,82.30813953488372,High Value,No,0.115,Low Risk,High Value Customer
1875-QIVME,2,104.4,242.8,Month-to-month,Fiber optic,Yes,104.4,2,208.8,121.4,Low Value,,0.0,Low Risk,Low Priority
6727-IOTLZ,14,81.95,1181.75,Two year,DSL,No,81.95,14,1147.3,84.41071428571429,Medium Value,,0.0,Low Risk,Low Priority
0691-JVSYA,53,94.85,5000.2,One year,Fiber optic,Yes,94.85,53,5027.049999999999,94.3433962264151,High Value,,0.0,Low Risk,High Value Customer
5918-VUKWP,32,20.55,654.55,One year,No,No,20.55,32,657.6,20.4546875,Low Value,,0.0,Low Risk,Low Priority
1744-JHKYS,34,24.7,780.2,Month-to-month,No,No,24.7,34,839.8,22.947058823529414,Low Value,No,0.015,Low Risk,Low Priority
2656-FMOKZ,15,74.45,1145.7,Month-to-month,Fiber optic,Yes,74.45,15,1116.75,76.38000000000001,Medium Value,,0.0,Low Risk,Low Priority
2070-FNEXE,7,76.45,503.6,Month-to-month,Fiber optic,Yes,76.45,7,535.15,71.94285714285715,Low Value,No,0.375,Low Risk,Low Priority
5947-SGKCL,15,105.35,1559.25,Month-to-month,Fiber optic,No,105.35,15,1580.25,103.95,Medium Value,,0.0,Low Risk,Low Priority
3712-PKXZA,61,20.55,1252.0,One year,No,No,20.55,61,1253.55,20.524590163934427,Medium Value,,0.0,Low Risk,Low Priority
6317-YPKDH,1,29.95,29.95,Month-to-month,DSL,Yes,29.95,1,29.95,29.95,Low Value,No,0.295,Low Risk,Low Priority
6582-OIVSP,1,45.3,45.3,Month-to-month,DSL,No,45.3,1,45.3,45.3,Low Value,,0.0,Low Risk,Low Priority
9367-WXLCH,8,84.5,662.65,Month-to-month,Fiber optic,Yes,84.5,8,676.0,82.83125,Low Value,,0.0,Low Risk,Low Priority
5524-KHNJP,33,74.75,2453.3,One year,DSL,No,74.75,33,2466.75,74.34242424242424,Medium Value,No,0.17,Low Risk,Low Priority
1918-ZBFQJ,13,79.25,1111.65,Month-to-month,Fiber optic,Yes,79.25,13,1030.25,85.51153846153846,Medium Value,,0.0,Low Risk,Low Priority
1024-GUALD,1,24.8,24.8,Month-to-month,DSL,Yes,24.8,1,24.8,24.8,Low Value,Yes,0.68,Medium Risk,Monitor
4827-USJHP,20,51.8,1023.85,Month-to-month,DSL,No,51.8,20,1036.0,51.1925,Medium Value,,0.0,Low Risk,Low Priority
8167-GJLRN,3,30.4,82.15,Month-to-month,DSL,No,30.4,3,91.2,27.383333333333336,Low Value,,0.0,Low Risk,Low Priority
0956-SYCWG,13,19.65,244.8,One year,No,No,19.65,13,255.45,18.83076923076923,Low Value,,0.0,Low Risk,Low Priority
